"move_id","move_name","type","category","preview_id","preview_mp4","preview_gif","source_kind","ds_move_id","animation_reference","ds_animation_path","animation_class","source_manifest"
"BLAZINGBULL","Blazing Bull","Fire","Physical","anim_0899","docs/approval/previews/mp4/anim_0899.mp4","docs/approval/previews/gif/anim_0899.gif","hg-engine-script","899","animations/hg-engine/gen9/899.s","animations/hg-engine/gen9/899.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"BLAZINGSTAMPEDE","Blazing Stampede","Fire","Physical","anim_0899","docs/approval/previews/mp4/anim_0899.mp4","docs/approval/previews/gif/anim_0899.gif","hg-engine-script","899","animations/hg-engine/gen9/899.s","animations/hg-engine/gen9/899.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"BLINDINGSPEED","Blinding Speed","Qmarks","Physical","anim_0712","docs/approval/previews/mp4/anim_0712.mp4","docs/approval/previews/gif/anim_0712.gif","hg-engine-script","712","animations/hg-engine/gen7/712.s","animations/hg-engine/gen7/712.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"MOVE_BLITZ_ARROW","Blitz Arrow","Fighting","Physical","anim_0846","docs/approval/previews/mp4/anim_0846.mp4","docs/approval/previews/gif/anim_0846.gif","hg-engine-script","846","animations/hg-engine/gen8/846.s","animations/hg-engine/gen8/846.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"BLOBBYBOP","Blobby Bop","Ice","Physical","anim_0864","docs/approval/previews/mp4/anim_0864.mp4","docs/approval/previews/gif/anim_0864.gif","hg-engine-script","864","animations/hg-engine/gen9/864.s","animations/hg-engine/gen9/864.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"MOVE_BLOCK_DROPPER","Block Dropper","Ground","Physical","anim_0140","docs/approval/previews/mp4/anim_0140.mp4","docs/approval/previews/gif/anim_0140.gif","platinum-base-move","140","MOVE_BARRAGE","","direct Platinum/base-era DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_BLOOD_SHOT","Blood Shot","Dark","Status","anim_0578","docs/approval/previews/mp4/anim_0578.mp4","docs/approval/previews/gif/anim_0578.gif","hg-engine-script","578","animations/hg-engine/gen6/578.s","animations/hg-engine/gen6/578.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"MOVE_BLUE_MOON","Blue Moon","Ice","Special","anim_0557","docs/approval/previews/mp4/anim_0557.mp4","docs/approval/previews/gif/anim_0557.gif","hg-engine-script","557","animations/hg-engine/gen5/557.s","animations/hg-engine/gen5/557.s","direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_DIRECT_RESOLUTION_PASS_14.csv"
"MOVE_SUPERHOT_FLAME","Boiling Flame","Fire","Special","anim_0879","docs/approval/previews/mp4/anim_0879.mp4","docs/approval/previews/gif/anim_0879.gif","hg-engine-script","879","animations/hg-engine/gen9/879.s","animations/hg-engine/gen9/879.s","direct hg-engine DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"BOLTBEAM","Boltbeam","Electric","Special","anim_0562","docs/approval/previews/mp4/anim_0562.mp4","docs/approval/previews/gif/anim_0562.gif","hg-engine-script","562","animations/hg-engine/gen5/562.s","animations/hg-engine/gen5/562.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"MOVE_BONK","Bonk","Fairy","Physical","anim_0896","docs/approval/previews/mp4/anim_0896.mp4","docs/approval/previews/gif/anim_0896.gif","hg-engine-script","896","animations/hg-engine/gen9/896.s","animations/hg-engine/gen9/896.s","direct hg-engine DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"BORRASCA","Borrasca","Electric","Special","anim_0650","docs/approval/previews/mp4/anim_0650.mp4","docs/approval/previews/gif/anim_0650.gif","hg-engine-script","650","animations/hg-engine/gen7/650.s","animations/hg-engine/gen7/650.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"MOVE_BRAMBLE_BLAST","Bramble Blast","Grass","Physical","anim_0040","docs/approval/previews/mp4/anim_0040.mp4","docs/approval/previews/gif/anim_0040.gif","platinum-base-move","40","MOVE_POISON_STING","","direct Platinum/base-era DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_BRAVADO","Bravado","Normal","Special","anim_0263","docs/approval/previews/mp4/anim_0263.mp4","docs/approval/previews/gif/anim_0263.gif","platinum-base-move","263","MOVE_FACADE","","direct Platinum/base-era DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"BRAZOMUSGO","Brazo Musgo","Grass","Physical","anim_0776","docs/approval/previews/mp4/anim_0776.mp4","docs/approval/previews/gif/anim_0776.gif","hg-engine-script","776","animations/hg-engine/gen8/776.s","animations/hg-engine/gen8/776.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"BUNRAKUBEATDOWN","Bunraku Beatdown","Psychic","Special","anim_0920","docs/approval/previews/mp4/anim_0920.mp4","docs/approval/previews/gif/anim_0920.gif","hg-engine-script","920","animations/hg-engine/gen9/920.s","animations/hg-engine/gen9/920.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"CACAREO","Cacareo","Fairy","Special","anim_0587","docs/approval/previews/mp4/anim_0587.mp4","docs/approval/previews/gif/anim_0587.gif","hg-engine-script","587","animations/hg-engine/gen6/587.s","animations/hg-engine/gen6/587.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"MOVE_CALTROPS","Caltrops","Steel","Status","anim_0191","docs/approval/previews/mp4/anim_0191.mp4","docs/approval/previews/gif/anim_0191.gif","platinum-base-move","191","MOVE_SPIKES","","direct Platinum/base-era DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"CARICATURA","Caricatura","Normal","Special","anim_0550","docs/approval/previews/mp4/anim_0550.mp4","docs/approval/previews/gif/anim_0550.gif","hg-engine-script","550","animations/hg-engine/gen5/550.s","animations/hg-engine/gen5/550.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"CAUSTICBREATH","Caustic Breath","Dragon","Special","anim_0694","docs/approval/previews/mp4/anim_0694.mp4","docs/approval/previews/gif/anim_0694.gif","hg-engine-script","694","animations/hg-engine/gen7/694.s","animations/hg-engine/gen7/694.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"CHAOSDUNK","Chaos Dunk","Rock","Physical","anim_0913","docs/approval/previews/mp4/anim_0913.mp4","docs/approval/previews/gif/anim_0913.gif","hg-engine-script","913","animations/hg-engine/gen9/913.s","animations/hg-engine/gen9/913.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"MOVE_CHEAP_SHOT","Cheap Shot","Dark","Physical","anim_0467","docs/approval/previews/mp4/anim_0467.mp4","docs/approval/previews/gif/anim_0467.gif","platinum-base-move","467","MOVE_SHADOW_FORCE","","direct Platinum/base-era DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"CHECKEM","Check 'Em","Psychic","Special","anim_0503","docs/approval/previews/mp4/anim_0503.mp4","docs/approval/previews/gif/anim_0503.gif","hg-engine-script","503","animations/hg-engine/gen5/503.s","animations/hg-engine/gen5/503.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"MOVE_CHILLER","Chiller","Ice","Physical","anim_0301","docs/approval/previews/mp4/anim_0301.mp4","docs/approval/previews/gif/anim_0301.gif","platinum-base-move","301","MOVE_ICE_BALL","","direct Platinum/base-era DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"CHILLINGWAIL","Chilling Wail","Ghost","Special","anim_0844","docs/approval/previews/mp4/anim_0844.mp4","docs/approval/previews/gif/anim_0844.gif","hg-engine-script","844","animations/hg-engine/gen8/844.s","animations/hg-engine/gen8/844.s","direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_PORT_FALLBACK_PASS_13.csv"
"CHOQUEVAPOR","Choque Vapor","Fire","Physical","anim_0560","docs/approval/previews/mp4/anim_0560.mp4","docs/approval/previews/gif/anim_0560.gif","hg-engine-script","560","animations/hg-engine/gen5/560.s","animations/hg-engine/gen5/560.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"CHTHONICMALADY","Chthonic Malady","Shadow","Status","anim_0472","docs/approval/previews/mp4/anim_0472.mp4","docs/approval/previews/gif/anim_0472.gif","hg-engine-script","472","animations/hg-engine/gen5/472.s","animations/hg-engine/gen5/472.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"MOVE_CLAY_DART","Clay Dart","Ground","Physical","anim_0617","docs/approval/previews/mp4/anim_0617.mp4","docs/approval/previews/gif/anim_0617.gif","hg-engine-script","617","animations/hg-engine/gen6/617.s","animations/hg-engine/gen6/617.s","direct hg-engine DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_CLEAR_SKIES","Clear Skies","Normal","Status","anim_0432","docs/approval/previews/mp4/anim_0432.mp4","docs/approval/previews/gif/anim_0432.gif","platinum-base-move","432","MOVE_DEFOG","","direct Platinum/base-era DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"CODE:INJECTION","Code:Injection","Psychic","Special","anim_0596","docs/approval/previews/mp4/anim_0596.mp4","docs/approval/previews/gif/anim_0596.gif","hg-engine-script","596","animations/hg-engine/gen6/596.s","animations/hg-engine/gen6/596.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"CODEPOWER","Code:Power","Poison","Physical","anim_0869","docs/approval/previews/mp4/anim_0869.mp4","docs/approval/previews/gif/anim_0869.gif","hg-engine-script","869","animations/hg-engine/gen9/869.s","animations/hg-engine/gen9/869.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"CODEQUARANTINE","Code:Quarantine","Electric","Status","anim_0605","docs/approval/previews/mp4/anim_0605.mp4","docs/approval/previews/gif/anim_0605.gif","hg-engine-script","605","animations/hg-engine/gen6/605.s","animations/hg-engine/gen6/605.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"COLDTRUTH","Cold Truth","Ice","Special","anim_0576","docs/approval/previews/mp4/anim_0576.mp4","docs/approval/previews/gif/anim_0576.gif","hg-engine-script","576","animations/hg-engine/gen6/576.s","animations/hg-engine/gen6/576.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"COLMILLOSALVAJE","Colm. Salvaje","Normal","Physical","anim_0876","docs/approval/previews/mp4/anim_0876.mp4","docs/approval/previews/gif/anim_0876.gif","hg-engine-script","876","animations/hg-engine/gen9/876.s","animations/hg-engine/gen9/876.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"COMBUSCRIN","Combuscrin","Fire","Special","anim_0598","docs/approval/previews/mp4/anim_0598.mp4","docs/approval/previews/gif/anim_0598.gif","hg-engine-script","598","animations/hg-engine/gen6/598.s","animations/hg-engine/gen6/598.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"COMENGO","Come n' Go","Water","Special","anim_0597","docs/approval/previews/mp4/anim_0597.mp4","docs/approval/previews/gif/anim_0597.gif","hg-engine-script","597","animations/hg-engine/gen6/597.s","animations/hg-engine/gen6/597.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"COMECEREBRO","Comecerebro","Ghost","Physical","anim_0765","docs/approval/previews/mp4/anim_0765.mp4","docs/approval/previews/gif/anim_0765.gif","hg-engine-script","765","animations/hg-engine/gen8/765.s","animations/hg-engine/gen8/765.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"MOVE_CONCOCTION","Concoction","Grass","Physical","anim_0609","docs/approval/previews/mp4/anim_0609.mp4","docs/approval/previews/gif/anim_0609.gif","hg-engine-script","609","animations/hg-engine/gen6/609.s","animations/hg-engine/gen6/609.s","direct hg-engine DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"CORALBREAK","Coral Break","Water","Special","anim_0506","docs/approval/previews/mp4/anim_0506.mp4","docs/approval/previews/gif/anim_0506.gif","hg-engine-script","506","animations/hg-engine/gen5/506.s","animations/hg-engine/gen5/506.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
