"move_id","english_review_name","original_source_name","source_project","source_repo","source_commit","source_data_path","type","category","power","accuracy","pp","what_it_does","priority","target","contact","move_flags","effect_chance","status_effects","stat_changes","multi_hit_or_duration","recoil","drain_or_healing","switching_behavior","field_weather_terrain_behavior","source_description","source_uncertainty","mechanics_audit_status","audit_basis","animation_status","animation_reference","ds_animation_class","ds_animation_path","ds_move_id","port_action","animation_audit_notes","animation_manifest"
"MOVE_IRON_FANGS","Iron Fangs","Iron Fangs","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Steel","Physical","85","100","15","Breaks any barrier like Light Screen and Reflect. Strong Jaw boost.","0 (normal priority)","One target","Yes","contact;mirror-move-affected;strong-jaw","No separate chance field","","","","","","","","Breaks any barrier like Light Screen and Reflect. Strong Jaw boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","animation linkage pending source-wide animation audit","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_SHADOW_FANGS","Shadow Fangs","Shadow Fangs","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Ghost","Physical","80","100","15","The foe shudders. 10% chance to curse the foe. Strong Jaw boost.","0 (normal priority)","One target","Yes","contact;mirror-move-affected;strong-jaw;effect-chance-10","10% when the listed secondary effect applies","","","","","","","","The foe shudders. 10% chance to curse the foe. Strong Jaw boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","animation linkage pending source-wide animation audit","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_LOVELY_BITE","Lovely Bite","Lovely Bite","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Fairy","Physical","85","100","15","An affectionate bite. 10% chance to infatuate the foe. Strong Jaw boost.","0 (normal priority)","One target","Yes","contact;mirror-move-affected;strong-jaw;effect-chance-10","10% when the listed secondary effect applies","","","","","","","","An affectionate bite. 10% chance to infatuate the foe. Strong Jaw boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","animation linkage pending source-wide animation audit","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_JAGGED_FANGS","Jagged Fangs","Jagged Fangs","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Rock","Physical","80","100","15","Deals 80 base-power physical Rock-type damage. It has a 10% chance to raise the user's Attack by 1 stage and is a biting move boosted by Strong Jaw.","0 (normal priority)","One target","Yes","contact;mirror-move-affected;strong-jaw;effect-chance-10","10% when the listed secondary effect applies","","10% chance: user Attack +1 stage","","","","","","A ferocious bite. 10% chance to raise user's Attack. Strong Jaw boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","animation linkage pending source-wide animation audit","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_SCORCHED_EARTH","Scorched Earth","Scorched Earth","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Fire","Special","70","100","10","Fire or Ground based on effectiveness. Has 10% burn chance.","0 (normal priority)","One target","No","mirror-move-affected;dual-type-effect;effect-chance-10","10% when the listed secondary effect applies","","","","","","","","Fire or Ground based on effectiveness. Has 10% burn chance.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","animation linkage pending source-wide animation audit","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_PLASMA_PULSE","Plasma Pulse","Plasma Pulse","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Electric","Special","65","100","10","Double damage against status. 10% paralyze chance. Mega Launcher boost","0 (normal priority)","One target","No","mirror-move-affected;mega-launcher;effect-chance-10","10% when the listed secondary effect applies","","","","","","","","Double damage against status. 10% paralyze chance. Mega Launcher boost","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","animation linkage pending source-wide animation audit","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_PRIMAL_BEAM","Primal Beam","Primal Beam","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Dragon","Physical","90","100","10","Deals 90 base-power physical Dragon-type damage. It uses the user's Attack and has a 20% chance to raise the user's Attack by 1 stage.","0 (normal priority)","One target","No","mirror-move-affected;mega-launcher;effect-chance-20","20% when the listed secondary effect applies","","20% chance: user Attack +1 stage","","","","","","An strange beam that uses the user's Attack, may rise own Atk.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","animation linkage pending source-wide animation audit","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_DRACONIC_FANGS","Draconic Fangs","Draconic Fangs","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Dragon","Physical","85","100","15","The user bites with draconic fangs. 20% flinch chance. Strong Jaw boost.","0 (normal priority)","One target","Yes","contact;mirror-move-affected;strong-jaw;effect-chance-20","20% when the listed secondary effect applies","","","","","","","","The user bites with draconic fangs. 20% flinch chance. Strong Jaw boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","explicitly reuses an existing animation","MOVE_BITE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_PIXIE_BEAM","Pixie Beam","Pixie Beam","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Fairy","Special","110","85","5","Deals 110 base-power special Fairy-type damage. It has a 20% chance to lower the target's Special Attack by 1 stage and is flagged for Mega Launcher-style synergy.","0 (normal priority)","One target","No","mirror-move-affected;mega-launcher;effect-chance-20","20% when the listed secondary effect applies","","20% chance: target Sp. Atk -1 stage","","","","","","A powerful magic beam. 20% chance to lower SpAtk. Mega launcher.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","animation linkage pending source-wide animation audit","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_PIXIE_SLASH","Pixie Slash","Pixie Slash","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Fairy","Physical","90","100","20","The foe is slashed with a whimsical blade. High Crit ratio. Keen Edge boost.","0 (normal priority)","One target","Yes","contact;mirror-move-affected;keen-edge","No separate chance field","","","","","","","","The foe is slashed with a whimsical blade. High Crit ratio. Keen Edge boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","animation linkage pending source-wide animation audit","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_SEISMIC_BLADE","Seismic Blade","Seismic Blade","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Ground","Physical","90","100","20","The foe is slashed with a tectonic blade. High Crit ratio. Keen Edge boost.","0 (normal priority)","One target","Yes","contact;mirror-move-affected;keen-edge","No separate chance field","","","","","","","","The foe is slashed with a tectonic blade. High Crit ratio. Keen Edge boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","animation linkage pending source-wide animation audit","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_MOUNTAIN_CHUNK","Mountain Chunk","Mountain Chunk","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Ground","Physical","110","90","10","Hurls a chunk of a mountain at the foe. 30% flinch chance. Mega Launcher boost.","0 (normal priority)","One target","No","mirror-move-affected;mega-launcher;effect-chance-30","30% when the listed secondary effect applies","","","","","","","","Hurls a chunk of a mountain at the foe. 30% flinch chance. Mega Launcher boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","animation linkage pending source-wide animation audit","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_ARCHER_SHOT","Archer Shot","Archer Shot","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Normal","Physical","95","100","20","Shoots a dead center arrow at the target. Archer boost.","0 (normal priority)","One target","No","mirror-move-affected;arrow","No separate chance field","","","","","","","","Shoots a dead center arrow at the target. Archer boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","animation linkage pending source-wide animation audit","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_FROST_BRAND","Frost Brand","Frost Brand","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Ice","Physical","80","100","20","Slahes with an ice-cold cryo blade. 10% frostbite chance. Keen Edge boost.","0 (normal priority)","One target","Yes","contact;mirror-move-affected;keen-edge;effect-chance-10","10% when the listed secondary effect applies","","","","","","","","Slahes with an ice-cold cryo blade. 10% frostbite chance. Keen Edge boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","animation linkage pending source-wide animation audit","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_FROST_BOLT","Frost Bolt","Frost Bolt","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Ice","Physical","80","100","20","The user shoots a freezing arrow. 20% frostbite chance. Arrow boost.","0 (normal priority)","One target","No","mirror-move-affected;arrow;effect-chance-20","20% when the listed secondary effect applies","","","","","","","","The user shoots a freezing arrow. 20% frostbite chance. Arrow boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","animation linkage pending source-wide animation audit","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_GLACIER_CRASH","Glacier Crash","Glacier Crash","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Ice","Physical","95","100","20","A large glacier crashes into foes. Hits all others. Mega Launcher boost.","0 (normal priority)","All adjacent Pokémon","No","mirror-move-affected;mega-launcher","No separate chance field","","","","","","","","A large glacier crashes into foes. Hits all others. Mega Launcher boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","explicitly reuses an existing animation","MOVE_ICICLE_CRASH","direct hg-engine DS reuse","animations/hg-engine/gen5/559.s","559","reuse referenced DS animation","Elite Redux reuses MOVE_ICICLE_CRASH; matching Gen 5 hg-engine animation is already stored in this repository.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_SUPERSONIC_SHOT","Supersonic Shot","Supersonic Shot","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Flying","Physical","60","100","10","Deals 60 base-power physical Flying-type damage and always lands a critical hit. It is an arrow/projectile-style move in the source.","0 (normal priority)","One target","No","mirror-move-affected;arrow","No separate chance field","","","","","","","","Fires a high-speed arrow. Always crits. Archer boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","explicitly reuses an existing animation","MOVE_SUPERSONIC","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_ZEPHYR_RUSH","Zephyr Rush","Zephyr Rush","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Flying","Physical","100","95","10","User fires itself with a gale. Hurts on miss. Mega Launcher boost. Air-based.","0 (normal priority)","One target","Yes","contact;mirror-move-affected;reckless;mega-launcher;air","No separate chance field","","","","","","","","User fires itself with a gale. Hurts on miss. Mega Launcher boost. Air-based.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","explicitly reuses an existing animation","MOVE_JUMP_KICK","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_KINETIC_BARRAGE","Kinetic Barrage","Kinetic Barrage","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Psychic","Physical","90","100","20","Lifts up objects and hurls them at the foe. 30% confusion. Mega Launcher boost.","0 (normal priority)","One target","No","mirror-move-affected;mega-launcher;effect-chance-30","30% when the listed secondary effect applies","","","","","","","","Lifts up objects and hurls them at the foe. 30% confusion. Mega Launcher boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","explicitly reuses an existing animation","MOVE_STRENGTH","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_FERTILE_FANGS","Fertile Fangs","Fertile Fangs","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Grass","Physical","80","100","20","Inserts ingraining fangs. 10% chance to apply Leech Seed. Strong Jaw boost.","0 (normal priority)","One target","Yes","contact;mirror-move-affected;strong-jaw;effect-chance-10","10% when the listed secondary effect applies","","","","","","","","Inserts ingraining fangs. 10% chance to apply Leech Seed. Strong Jaw boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","explicitly reuses an existing animation","MOVE_LEECH_LIFE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_SCATTER_BLAST","Scatter Blast","Scatter Blast","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Ground","Special","65","100","5","A blast of sand that scatters Stealth Rocks. Mega Launcher boost.","0 (normal priority)","One target","No","mirror-move-affected;mega-launcher;effect-chance-100","100% when the listed secondary effect applies","","","","","","","","A blast of sand that scatters Stealth Rocks. Mega Launcher boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","animation linkage pending source-wide animation audit","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_JAGGED_PUNCH","Jagged Punch","Jagged Punch","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Rock","Physical","80","100","10","The foe is punched by a stony fist. 10% chance to set Stealth Rocks.","0 (normal priority)","One target","Yes","contact;mirror-move-affected;iron-fist;effect-chance-10","10% when the listed secondary effect applies","","","","","","","","The foe is punched by a stony fist. 10% chance to set Stealth Rocks.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","explicitly reuses an existing animation","MOVE_MACH_PUNCH","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_CUTSIE_SLAP","Cutsie Slap","Cutsie Slap","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Fairy","Physical","85","100","10","The foe is slapped cutely. 10% infatuation chance. Iron Fist boost.","0 (normal priority)","One target","Yes","contact;mirror-move-affected;iron-fist;effect-chance-10","10% when the listed secondary effect applies","","","","","","","","The foe is slapped cutely. 10% infatuation chance. Iron Fist boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","animation linkage pending source-wide animation audit","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_FAIRY_SPHERES","Fairy Spheres","Fairy Spheres","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Fairy","Physical","20","100","10","A 20 base-power physical Fairy-type attack that hits 2–5 times. Despite being Physical, damage is calculated against the target's Special Defense rather than Defense. It makes contact and is flagged for Mega Launcher-style synergy.","0 (normal priority)","One target","Yes","contact;mirror-move-affected;mega-launcher","No separate chance field","","","2–5 hits; 20 BP per hit; uses target Sp. Def","","","","","Magical spheres hit 2 to 5 times. Hits SpDef. Mega Launcher boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","explicitly reuses an existing animation","MOVE_DOUBLE_SLAP","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_BRAMBLE_BLAST","Bramble Blast","Bramble Blast","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Grass","Physical","85","100","10","Fires thorny brambles. 30% chance to apply Leech Seed. Archer boost.","0 (normal priority)","One target","Yes","contact;mirror-move-affected;arrow;effect-chance-30","30% when the listed secondary effect applies","","","","","","","","Fires thorny brambles. 30% chance to apply Leech Seed. Archer boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","explicitly reuses an existing animation","MOVE_POISON_STING","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
