"move_id","move_name","type","category","source_animation_reference","ds_animation_class","ds_animation_path","ds_move_id","port_action","notes"
"MOVE_IRON_FANGS","Iron Fangs","Steel","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_SHADOW_FANGS","Shadow Fangs","Ghost","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_LOVELY_BITE","Lovely Bite","Fairy","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_JAGGED_FANGS","Jagged Fangs","Rock","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_SCORCHED_EARTH","Scorched Earth","Fire","Special","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_PLASMA_PULSE","Plasma Pulse","Electric","Special","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_PRIMAL_BEAM","Primal Beam","Dragon","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_DRACONIC_FANGS","Draconic Fangs","Dragon","Physical","MOVE_BITE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_PIXIE_BEAM","Pixie Beam","Fairy","Special","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_PIXIE_SLASH","Pixie Slash","Fairy","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_SEISMIC_BLADE","Seismic Blade","Ground","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_MOUNTAIN_CHUNK","Mountain Chunk","Ground","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_ARCHER_SHOT","Archer Shot","Normal","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_FROST_BRAND","Frost Brand","Ice","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_FROST_BOLT","Frost Bolt","Ice","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_GLACIER_CRASH","Glacier Crash","Ice","Physical","MOVE_ICICLE_CRASH","direct hg-engine DS reuse","animations/hg-engine/gen5/559.s","559","reuse referenced DS animation","Elite Redux reuses MOVE_ICICLE_CRASH; matching Gen 5 hg-engine animation is already stored in this repository."
"MOVE_SUPERSONIC_SHOT","Supersonic Shot","Flying","Physical","MOVE_SUPERSONIC","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_ZEPHYR_RUSH","Zephyr Rush","Flying","Physical","MOVE_JUMP_KICK","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_KINETIC_BARRAGE","Kinetic Barrage","Psychic","Physical","MOVE_STRENGTH","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_FERTILE_FANGS","Fertile Fangs","Grass","Physical","MOVE_LEECH_LIFE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_SCATTER_BLAST","Scatter Blast","Ground","Special","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_JAGGED_PUNCH","Jagged Punch","Rock","Physical","MOVE_MACH_PUNCH","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_CUTSIE_SLAP","Cutsie Slap","Fairy","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_FAIRY_SPHERES","Fairy Spheres","Fairy","Physical","MOVE_DOUBLE_SLAP","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_BRAMBLE_BLAST","Bramble Blast","Grass","Physical","MOVE_POISON_STING","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_ASTEROID_DOWNFALL","Asteroid Shot","Rock","Physical","MOVE_SMACK_DOWN","direct hg-engine DS reuse","animations/hg-engine/gen5/482.s","482","reuse referenced DS animation","Elite Redux reuses MOVE_SMACK_DOWN; matching Gen 5 hg-engine animation is already stored in this repository."
"MOVE_AQUA_BASH","Aqua Bash","Water","Physical","MOVE_AQUA_TAIL","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_TECTONIC_FANGS","Tectonic Fangs","Ground","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_CUPID_SHOT","Cupid Shot","Fairy","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_CLAY_DART","Clay Dart","Ground","Physical","MOVE_THOUSAND_ARROWS","direct hg-engine DS reuse","animations/hg-engine/gen6/617.s","617","reuse referenced DS animation","Elite Redux reuses MOVE_THOUSAND_ARROWS; matching Gen 6 hg-engine animation is already stored in this repository."
"MOVE_DIAMOND_ARROW","Diamond Arrow","Rock","Physical","MOVE_THOUSAND_ARROWS","direct hg-engine DS reuse","animations/hg-engine/gen6/617.s","617","reuse referenced DS animation","Elite Redux reuses MOVE_THOUSAND_ARROWS; matching Gen 6 hg-engine animation is already stored in this repository."
"MOVE_DIAMOND_BLADE","Diamond Blade","Rock","Physical","MOVE_CUT","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_VENOM_BOLT","Venom Bolt","Poison","Physical","MOVE_POISON_STING","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_FUMIGATION_BOMB","Fumigation Bomb","Poison","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_BLACK_MAGIC","Black Magic","Dark","Physical","MOVE_DARK_PULSE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_FLAME_TONGUE","Flame Tongue","Fire","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_BLAZING_ARROW","Blazing Arrow","Fire","Physical","MOVE_FIRE_LASH","direct hg-engine DS reuse","animations/hg-engine/gen7/683.s","683","reuse referenced DS animation","Elite Redux reuses MOVE_FIRE_LASH; matching Gen 7 hg-engine animation is already stored in this repository."
"MOVE_ROCKET_PUNCH","Rocket Shot","Steel","Physical","MOVE_COMET_PUNCH","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_WEB_SHOT","Web Shot","Bug","Physical","MOVE_STICKY_WEB","direct hg-engine DS reuse","animations/hg-engine/gen6/567.s","567","reuse referenced DS animation","Elite Redux reuses MOVE_STICKY_WEB; matching Gen 6 hg-engine animation is already stored in this repository."
"MOVE_AURA_FORCE","Aura Force","Fighting","Physical","MOVE_AURA_SPHERE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_DRAKE_MISSILE","Draco Missile","Dragon","Physical","MOVE_AURA_SPHERE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_LOTUS_SHOWER","Lotus Shower","Grass","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_JAGGED_HORNS","Jagged Horns","Rock","Physical","MOVE_HORN_ATTACK","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_BLOOD_SHOT","Blood Shot","Dark","Status","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_FLASH_FREEZE","Flash Freeze","Ice","Status","MOVE_FREEZE_DRY","direct hg-engine DS reuse","animations/hg-engine/gen6/576.s","576","reuse referenced DS animation","Elite Redux reuses MOVE_FREEZE_DRY; matching Gen 6 hg-engine animation is already stored in this repository."
"MOVE_PHANTOM_GLOVES","Phantom Glove","Ghost","Physical","MOVE_SHADOW_CLAW","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_HOMING_FLETCH","Homing Fletch","Steel","Physical","MOVE_THOUSAND_ARROWS","direct hg-engine DS reuse","animations/hg-engine/gen6/617.s","617","reuse referenced DS animation","Elite Redux reuses MOVE_THOUSAND_ARROWS; matching Gen 6 hg-engine animation is already stored in this repository."
"MOVE_DEVIOUS_SHOT","Devious Shot","Dark","Physical","MOVE_THOUSAND_ARROWS","direct hg-engine DS reuse","animations/hg-engine/gen6/617.s","617","reuse referenced DS animation","Elite Redux reuses MOVE_THOUSAND_ARROWS; matching Gen 6 hg-engine animation is already stored in this repository."
"MOVE_STARBURST","Starburst","Normal","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_CHEAP_SHOT","Cheap Shot","Dark","Physical","MOVE_SHADOW_FORCE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_TORRENT_FIST","Torrent Fist","Water","Physical","MOVE_SURGING_STRIKES","direct hg-engine DS reuse","animations/hg-engine/gen8/821.s","821","reuse referenced DS animation","Elite Redux reuses MOVE_SURGING_STRIKES; matching Gen 8 hg-engine animation is already stored in this repository."
"MOVE_STAR_CRASH","Star Crash","Fairy","Physical","MOVE_METEOR_MASH","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_ENERGY_WAVE","Energy Wave","Normal","Special","MOVE_SONIC_BOOM","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_FLUTTERING_LEAF","Fluttering Leaf","Grass","Physical","MOVE_U_TURN","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_WHIRLING_STRIKES","Whirling Strikes","Flying","Physical","MOVE_TRIPLE_AXEL","direct hg-engine DS reuse","animations/hg-engine/gen8/816.s","816","reuse referenced DS animation","Elite Redux reuses MOVE_TRIPLE_AXEL; matching Gen 8 hg-engine animation is already stored in this repository."
"MOVE_MIND_BREAK","Mind Break","Psychic","Physical","MOVE_PSYSHOCK","direct hg-engine DS reuse","animations/hg-engine/gen5/476.s","476","reuse referenced DS animation","Elite Redux reuses MOVE_PSYSHOCK; matching Gen 5 hg-engine animation is already stored in this repository."
"MOVE_WYRM_WIND","Wyrm Wind","Dragon","Special","MOVE_SCALE_SHOT","direct hg-engine DS reuse","animations/hg-engine/gen8/802.s","802","reuse referenced DS animation","Elite Redux reuses MOVE_SCALE_SHOT; matching Gen 8 hg-engine animation is already stored in this repository."
"MOVE_BERRY_SMASH","Berry Smash","Grass","Physical","MOVE_WOOD_HAMMER","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_SUPERHOT_FLAME","Boiling Flame","Fire","Special","MOVE_HYDRO_STEAM","direct hg-engine DS reuse","animations/hg-engine/gen9/879.s","879","reuse referenced DS animation","Elite Redux reuses MOVE_HYDRO_STEAM; matching Gen 9 hg-engine animation is already stored in this repository."
"MOVE_DOUBLE_LARIAT","Double Lariat","Fighting","Physical","MOVE_DARKEST_LARIAT","direct hg-engine DS reuse","animations/hg-engine/gen7/666.s","666","reuse referenced DS animation","Elite Redux reuses MOVE_DARKEST_LARIAT; matching Gen 7 hg-engine animation is already stored in this repository."
"MOVE_LEECH_BLADE","Leech Blade","Grass","Physical","MOVE_LEAF_BLADE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_YGGDRASIL_FORCE","Yggdrasil Force","Grass","Physical","MOVE_SUPERPOWER","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_DRAIN_BRAIN","Drain Brain","Psychic","Status","MOVE_STRENGTH_SAP","direct hg-engine DS reuse","animations/hg-engine/gen7/671.s","671","reuse referenced DS animation","Elite Redux reuses MOVE_STRENGTH_SAP; matching Gen 7 hg-engine animation is already stored in this repository."
"MOVE_PSYCHOKINETIC_SLAM","Psychokinetic Slam","Psychic","Physical","MOVE_DOUBLE_EDGE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_GEM_MISSILE","Gem Missile","Rock","Special","MOVE_POWER_GEM","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_RIDER_KICK","Rider Kick","Bug","Physical","MOVE_JUMP_KICK","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_INVERSE_ROOM","Inverse Room","Psychic","Status","MOVE_TRICK_ROOM","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_BLAZING_BONE","Blazing Bone","Fire","Physical","MOVE_SHADOW_BONE","direct hg-engine DS reuse","animations/hg-engine/gen7/711.s","711","reuse referenced DS animation","Elite Redux reuses MOVE_SHADOW_BONE; matching Gen 7 hg-engine animation is already stored in this repository."
"MOVE_KARMA","Karma","Poison","Status","MOVE_CURSE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_GHASTLY_ECHO","Ghastly Echo","Ghost","Special","MOVE_PURSUIT","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_RAGING_SOULS","Raging Souls","Ghost","Special","MOVE_WILL_O_WISP","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_REQUIEM","Requiem","Ghost","Special","MOVE_SING","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_SOIL_DRAIN","Soil Drain","Ground","Special","MOVE_GIGA_DRAIN","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_SMASHIN_REALITIES","Smashin\' Realities","Dark","Physical","MOVE_HAMMER_ARM","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_CREEPING_THORNS","Creeping Thorns","Grass","Status","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_WILD_SWING","Wild Swing","Normal","Physical","MOVE_GIGATON_HAMMER","direct hg-engine DS reuse","animations/hg-engine/gen9/896.s","896","reuse referenced DS animation","Elite Redux reuses MOVE_GIGATON_HAMMER; matching Gen 9 hg-engine animation is already stored in this repository."
"MOVE_FEMUR_BREAKER","Femur Breaker","Electric","Physical","MOVE_SMITE","custom Elite Redux animation chain","","","follow referenced custom move, then recreate/convert for DS","Elite Redux chains animation reuse through another custom Elite Redux move."
"MOVE_SQUEAKY_HAMMER","Squeaky Hammer","Fairy","Physical","MOVE_GIGATON_HAMMER","direct hg-engine DS reuse","animations/hg-engine/gen9/896.s","896","reuse referenced DS animation","Elite Redux reuses MOVE_GIGATON_HAMMER; matching Gen 9 hg-engine animation is already stored in this repository."
"MOVE_PRIMITIVE_STRIKE","Primitive Strike","Ground","Physical","MOVE_GIGATON_HAMMER","direct hg-engine DS reuse","animations/hg-engine/gen9/896.s","896","reuse referenced DS animation","Elite Redux reuses MOVE_GIGATON_HAMMER; matching Gen 9 hg-engine animation is already stored in this repository."
"MOVE_SMASHING_PUMPKINS","Smashing Pumpkins","Grass","Physical","MOVE_GIGATON_HAMMER","direct hg-engine DS reuse","animations/hg-engine/gen9/896.s","896","reuse referenced DS animation","Elite Redux reuses MOVE_GIGATON_HAMMER; matching Gen 9 hg-engine animation is already stored in this repository."
"MOVE_AIRBORNE_SLAM","Airborne Slam","Normal","Physical","MOVE_GIGATON_HAMMER","direct hg-engine DS reuse","animations/hg-engine/gen9/896.s","896","reuse referenced DS animation","Elite Redux reuses MOVE_GIGATON_HAMMER; matching Gen 9 hg-engine animation is already stored in this repository."
"MOVE_SPINE_BREAKER","Spine Breaker","Rock","Physical","MOVE_GIGATON_HAMMER","direct hg-engine DS reuse","animations/hg-engine/gen9/896.s","896","reuse referenced DS animation","Elite Redux reuses MOVE_GIGATON_HAMMER; matching Gen 9 hg-engine animation is already stored in this repository."
"MOVE_CRACKLE_SLAM","Crackle Slam","Electric","Physical","MOVE_GIGATON_HAMMER","direct hg-engine DS reuse","animations/hg-engine/gen9/896.s","896","reuse referenced DS animation","Elite Redux reuses MOVE_GIGATON_HAMMER; matching Gen 9 hg-engine animation is already stored in this repository."
"MOVE_SQUALL_HAMMER","Squall Hammer","Flying","Physical","MOVE_GIGATON_HAMMER","direct hg-engine DS reuse","animations/hg-engine/gen9/896.s","896","reuse referenced DS animation","Elite Redux reuses MOVE_GIGATON_HAMMER; matching Gen 9 hg-engine animation is already stored in this repository."
"MOVE_MEGATON_HAMMER","Megaton Hammer","Fighting","Physical","MOVE_GIGATON_HAMMER","direct hg-engine DS reuse","animations/hg-engine/gen9/896.s","896","reuse referenced DS animation","Elite Redux reuses MOVE_GIGATON_HAMMER; matching Gen 9 hg-engine animation is already stored in this repository."
"MOVE_BATTERING_RAM","Battering Ram","Dragon","Physical","MOVE_GIGATON_HAMMER","direct hg-engine DS reuse","animations/hg-engine/gen9/896.s","896","reuse referenced DS animation","Elite Redux reuses MOVE_GIGATON_HAMMER; matching Gen 9 hg-engine animation is already stored in this repository."
"MOVE_PITFALL","Pitfall","Ground","Physical","MOVE_GIGATON_HAMMER","direct hg-engine DS reuse","animations/hg-engine/gen9/896.s","896","reuse referenced DS animation","Elite Redux reuses MOVE_GIGATON_HAMMER; matching Gen 9 hg-engine animation is already stored in this repository."
"MOVE_VIRAL_STRIKE","Viral Strike","Poison","Physical","MOVE_GIGATON_HAMMER","direct hg-engine DS reuse","animations/hg-engine/gen9/896.s","896","reuse referenced DS animation","Elite Redux reuses MOVE_GIGATON_HAMMER; matching Gen 9 hg-engine animation is already stored in this repository."
"MOVE_SHADOW_HAMMER","Shadow Hammer","Ghost","Physical","MOVE_GIGATON_HAMMER","direct hg-engine DS reuse","animations/hg-engine/gen9/896.s","896","reuse referenced DS animation","Elite Redux reuses MOVE_GIGATON_HAMMER; matching Gen 9 hg-engine animation is already stored in this repository."
"MOVE_BONK","Bonk","Fairy","Physical","MOVE_GIGATON_HAMMER","direct hg-engine DS reuse","animations/hg-engine/gen9/896.s","896","reuse referenced DS animation","Elite Redux reuses MOVE_GIGATON_HAMMER; matching Gen 9 hg-engine animation is already stored in this repository."
"MOVE_MOLTEN_STRIKE","Molten Strike","Fire","Physical","MOVE_GIGATON_HAMMER","direct hg-engine DS reuse","animations/hg-engine/gen9/896.s","896","reuse referenced DS animation","Elite Redux reuses MOVE_GIGATON_HAMMER; matching Gen 9 hg-engine animation is already stored in this repository."
"MOVE_MIRAGE_SLAM","Mirage Slam","Psychic","Physical","MOVE_GIGATON_HAMMER","direct hg-engine DS reuse","animations/hg-engine/gen9/896.s","896","reuse referenced DS animation","Elite Redux reuses MOVE_GIGATON_HAMMER; matching Gen 9 hg-engine animation is already stored in this repository."
"MOVE_EARTHSPLITTER","Earthsplitter","Steel","Physical","MOVE_GIGATON_HAMMER","direct hg-engine DS reuse","animations/hg-engine/gen9/896.s","896","reuse referenced DS animation","Elite Redux reuses MOVE_GIGATON_HAMMER; matching Gen 9 hg-engine animation is already stored in this repository."
"MOVE_BEETLE_BASH","Beetle Bash","Bug","Physical","MOVE_GIGATON_HAMMER","direct hg-engine DS reuse","animations/hg-engine/gen9/896.s","896","reuse referenced DS animation","Elite Redux reuses MOVE_GIGATON_HAMMER; matching Gen 9 hg-engine animation is already stored in this repository."
"MOVE_PEBBLE_SHOWER","Pebble Shower","Rock","Special","MOVE_ROCK_SLIDE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_RAPID_RIVER","Rapid River","Water","Physical","MOVE_WATERFALL","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_TOXIC_NEEDLES","Toxic Needles","Poison","Physical","MOVE_BARB_BARRAGE","direct hg-engine DS reuse","animations/hg-engine/gen8/842.s","842","reuse referenced DS animation","Elite Redux reuses MOVE_BARB_BARRAGE; matching Gen 8 hg-engine animation is already stored in this repository."
"MOVE_SMOLDER_BASH","Smolder Bash","Fire","Physical","MOVE_FLARE_BLITZ","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_BEATDOWN","Beatdown","Dark","Physical","MOVE_BEAT_UP","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_EERIE_FOG","Eerie Fog","Ghost","Status","MOVE_HAZE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_MYSTIC_DANCE","Mystic Dance","Dragon","Status","MOVE_DRAGON_DANCE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_RELENTLESS_CLOBBER","Relentless Clobber","Dark","Physical","MOVE_BEAT_UP","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_POP_MAYHEM","Popping Mayhem","Fire","Physical","MOVE_BULLET_SEED","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_KILOBITE","Kilobite","Steel","Physical","MOVE_IRON_FANGS","custom Elite Redux animation chain","","","follow referenced custom move, then recreate/convert for DS","Elite Redux chains animation reuse through another custom Elite Redux move."
"MOVE_TANGLING_HUSK","Tangling Husk","Grass","Status","MOVE_SILK_TRAP","direct hg-engine DS reuse","animations/hg-engine/gen9/855.s","855","reuse referenced DS animation","Elite Redux reuses MOVE_SILK_TRAP; matching Gen 9 hg-engine animation is already stored in this repository."
"MOVE_RIP_AND_TEAR","Rip and Tear","Dark","Physical","MOVE_CRUNCH","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_BRAVADO","Bravado","Normal","Special","MOVE_FACADE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_TERROR_CHARGE","Terror Charge","Dark","Physical","MOVE_DOUBLE_EDGE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_TERROR_LOCKS","Terror Locks","Ghost","Physical","MOVE_NIGHT_SLASH","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_DREAM_INVERSION","Dream Invasion","Normal","Physical","MOVE_DREAM_EATER","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_SPARKLING_BARRAGE","Sparkling Barrage","Psychic","Physical","MOVE_SPIRIT_SHACKLE","direct hg-engine DS reuse","animations/hg-engine/gen7/665.s","665","reuse referenced DS animation","Elite Redux reuses MOVE_SPIRIT_SHACKLE; matching Gen 7 hg-engine animation is already stored in this repository."
"MOVE_SPECTRAL_SERENADE","Spectral Serenade","Ghost","Special","MOVE_WILL_O_WISP","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_MERCULIGHT","Merculight","Electric","Status","MOVE_PROTECT","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
