"group_id","severity","provisional_ds_id","move_id","move_name","type","category","power","accuracy","pp","priority","effect_chance","move_flags","reason","recommendation"
"DUP-009","HIGH_OVERLAP_FAMILY","1030","MOVE_SMOLDER_BASH","Smolder Bash","Fire","Physical","80","100","15","0 (normal priority)","10% when the listed secondary effect applies","contact;mirror-move-affected;horn;effect-chance-10","All are Fire physical attacks with burn as the secondary identity. Flame Tongue and Smolder Bash are especially close at 80 BP / 100% / 10% burn, separated mainly by blade vs horn tags and PP.","Review as one family; do not keep mechanically redundant delivery variants unless learnset tags matter."
"DUP-009","HIGH_OVERLAP_FAMILY","1092","MOVE_SPREAD_BOMB","Spread Bomb","Fire","Physical","90","100","10","0 (normal priority)","20% when the listed secondary effect applies","mirror-move-affected;effect-chance-20","All are Fire physical attacks with burn as the secondary identity. Flame Tongue and Smolder Bash are especially close at 80 BP / 100% / 10% burn, separated mainly by blade vs horn tags and PP.","Review as one family; do not keep mechanically redundant delivery variants unless learnset tags matter."
"DUP-010","SAME_EFFECT_DISTINCT","944","MOVE_MOUNTAIN_CHUNK","Mountain Chunk","Ground","Physical","110","90","10","0 (normal priority)","30% when the listed secondary effect applies","mirror-move-affected;mega-launcher;effect-chance-30","Both are Ground physical flinch attacks, but 110/90/30% ranged Mega Launcher vs 85/100/10% Strong Jaw contact creates distinct roles.","No duplicate removal required."
"DUP-010","SAME_EFFECT_DISTINCT","960","MOVE_TECTONIC_FANGS","Tectonic Fangs","Ground","Physical","85","100","15","0 (normal priority)","10% when the listed secondary effect applies","contact;mirror-move-affected;strong-jaw;effect-chance-10","Both are Ground physical flinch attacks, but 110/90/30% ranged Mega Launcher vs 85/100/10% Strong Jaw contact creates distinct roles.","No duplicate removal required."
"DUP-011","SAME_EFFECT_DISTINCT","981","MOVE_STARBURST","Starburst","Normal","Physical","110","90","10","0 (normal priority)","30% when the listed secondary effect applies","mirror-move-affected;mega-launcher;effect-chance-30","Both are Normal physical flinch attacks, but their power/accuracy/PP and throwing/launcher behavior differ materially.","No duplicate removal required."
"DUP-011","SAME_EFFECT_DISTINCT","1093","MOVE_BALL_TOSS","Ball Toss","Normal","Physical","90","100","15","0 (normal priority)","No separate chance field","mirror-move-affected;throwing","Both are Normal physical flinch attacks, but their power/accuracy/PP and throwing/launcher behavior differ materially.","No duplicate removal required."
"DUP-012","SAME_EFFECT_DISTINCT","1000","MOVE_BLAZING_BONE","Blazing Bone","Fire","Physical","15","100","10","1 (+1 priority)","No separate chance field","mirror-move-affected;bone;priority-1","Both are Fire physical multi-hit attacks, but one is +1 priority Bone-based while the other is Ballistic and can burn.","No duplicate removal required."
"DUP-013","SAME_EFFECT_DISTINCT","1009","MOVE_FEMUR_BREAKER","Femur Breaker","Electric","Physical","120","70","10","0 (normal priority)","100% when the listed secondary effect applies","contact;mirror-move-affected;hammer;effect-chance-100","Both are Electric physical paralysis attacks, but 120 BP/70 accuracy/100% paralysis Hammer vs 90/100/10% Mega Launcher creates very different risk/reward.","No duplicate removal required."
"DUP-013","SAME_EFFECT_DISTINCT","1076","MOVE_LIGHTNING_BULLET","Lightning Bullet","Electric","Physical","90","100","15","0 (normal priority)","10% when the listed secondary effect applies","contact;mirror-move-affected;mega-launcher;effect-chance-10","Both are Electric physical paralysis attacks, but 120 BP/70 accuracy/100% paralysis Hammer vs 90/100/10% Mega Launcher creates very different risk/reward.","No duplicate removal required."
"DUP-014","HIGH_OVERLAP","1031","MOVE_BEATDOWN","Beatdown","Dark","Physical","25","100","20","0 (normal priority)","No separate chance field","contact;mirror-move-affected","Both are Dark physical 25 BP / 100% / 20 PP multi-hit moves. Relentless Clobber's only clear extra mechanical distinction is the Hammer tag.","Strong candidate to merge or redesign one."
"DUP-014","HIGH_OVERLAP","1034","MOVE_RELENTLESS_CLOBBER","Relentless Clobber","Dark","Physical","25","100","20","0 (normal priority)","No separate chance field","contact;mirror-move-affected;hammer","Both are Dark physical 25 BP / 100% / 20 PP multi-hit moves. Relentless Clobber's only clear extra mechanical distinction is the Hammer tag.","Strong candidate to merge or redesign one."
"DUP-015","SAME_EFFECT_DISTINCT","1191","GILDEDARROW","Gilded Arrow","Normal","Special","80","100","15","0 (normal priority)","No separate chance field","{""HighCrit""}; {""Kingrock""}","They share a Rejuvenation effect code/high-crit family, but Gilded Helix has a two-arrow/type-matching identity and different BP.","No duplicate removal required."
"DUP-015","SAME_EFFECT_DISTINCT","1192","GILDEDHELIX","Gilded Helix","Normal","Special","50","100","15","0 (normal priority)","No separate chance field","{""HighCrit""}; {""Kingrock""}","They share a Rejuvenation effect code/high-crit family, but Gilded Helix has a two-arrow/type-matching identity and different BP.","No duplicate removal required."
"DUP-016","SAME_EFFECT_DISTINCT","1237","EXPUNGE","Expunge","Nuclear","Special","110","70","5","0 (normal priority)","No separate chance-based secondary effect","Uranium flags: be","They share a Uranium effect-code family in the source data but perform different mechanics; this is source-code reuse, not move duplication.","No duplicate removal required."
"DUP-016","SAME_EFFECT_DISTINCT","1245","NUCLEARWIND","Nuclear Wind","Nuclear","Special","65","95","10","0 (normal priority)","Source-version conflict: later Uranium-derived implementation = 5%; pinned PBS chance field = 3","Uranium flags: bef","They share a Uranium effect-code family in the source data but perform different mechanics; this is source-code reuse, not move duplication.","No duplicate removal required."
"DUP-017","SAME_EFFECT_DISTINCT","1277","WEIRDFLEX","Weird Flex","Fighting","Status","0","0","15","+4 (priority)","","snatch","Both are Fighting status moves implemented with custom callbacks, but their actual effects are unrelated.","No duplicate removal required."
"DUP-017","SAME_EFFECT_DISTINCT","1279","FOCUSMUNCH","Focus Munch","Fighting","Status","0","0","10","-3 (priority)","","No special move flags recorded in the source block","Both are Fighting status moves implemented with custom callbacks, but their actual effects are unrelated.","No duplicate removal required."
"DUP-018","HIGH_OVERLAP","1122","BLAZINGSTAMPEDE","Blazing Stampede","Fire","Physical","90","100","15","0 (normal priority)","50%","Contact,CanProtect,CanMirrorMove","Both are Fire physical attacks with a 50% chance to raise the user's Attack by 1. They differ mainly in 90/100/15 contact vs 100/95/10 tuning/flags.","Review whether both deserve separate learnset niches."
"DUP-018","HIGH_OVERLAP","1203","SOLARFLARE","Solar Flare","Fire","Physical","100","95","10","0 (normal priority)","50%","{""Kingrock""}","Both are Fire physical attacks with a 50% chance to raise the user's Attack by 1. They differ mainly in 90/100/15 contact vs 100/95/10 tuning/flags.","Review whether both deserve separate learnset niches."
"DUP-019","SAME_ROLE_DISTINCT","1267","ZOMBIESTRIKE","Zombie Strike","Ghost","Physical","90","90","15","0 (normal priority)","No secondary effect","Contact; Protect-blocked","Both are Ghost physical contact moves with no secondary effect. Elbow Drop is stronger/more accurate but has only 5 PP; Zombie Strike has 15 PP and lower accuracy/power.","Same basic role, but the PP/risk tradeoff is enough to distinguish them if both are distributed intentionally."
"DUP-019","SAME_ROLE_DISTINCT","1294","ELBOWDROP","Elbow Drop","Ghost","Physical","100","100","5","0 (normal priority)","No secondary effect","Contact; Protect-blocked; Mirror Move-compatible","Both are Ghost physical contact moves with no secondary effect. Elbow Drop is stronger/more accurate but has only 5 PP; Zombie Strike has 15 PP and lower accuracy/power.","Same basic role, but the PP/risk tradeoff is enough to distinguish them if both are distributed intentionally."
"DUP-020","SAME_ROLE_DISTINCT","1304","FIREBOMB","Fire Bomb","Fire","Physical","100","95","10","0 (normal priority)","No secondary effect","Protect-blocked; Mirror Move-compatible","Both are Fire physical moves with no secondary effect, but 100 BP/95%/10 PP non-contact versus 45 BP/100%/25 PP contact/horn gives clearly different power tiers.","No duplicate removal required."
"DUP-020","SAME_ROLE_DISTINCT","1396","CUERNARDIENTE","Fiery Horn","Fire","Physical","45","100","25","0 (normal priority)","No secondary effect","Contact; horn/fire attack; no extra effect recorded","Both are Fire physical moves with no secondary effect, but 100 BP/95%/10 PP non-contact versus 45 BP/100%/25 PP contact/horn gives clearly different power tiers.","No duplicate removal required."
