"move_id","move_name","type","category","source_animation_reference","ds_animation_class","ds_animation_path","ds_move_id","port_action","notes"
"MOVE_PLASMA_PULSE","Plasma Pulse","Electric","Special","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/850.s","850","Reuse WildboltStorm (MOVE_WILDBOLT_STORM) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: WildboltStorm. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_PRIMAL_BEAM","Primal Beam","Dragon","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/802.s","802","Reuse Scale Shot (MOVE_SCALE_SHOT) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Scale Shot. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_PIXIE_BEAM","Pixie Beam","Fairy","Special","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen7/708.s","708","Reuse Fleur Cannon (MOVE_FLEUR_CANNON) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Fleur Cannon. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_PIXIE_SLASH","Pixie Slash","Fairy","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen6/586.s","586","Reuse Play Rough (MOVE_PLAY_ROUGH) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Play Rough. Confidence: medium. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_SEISMIC_BLADE","Seismic Blade","Ground","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen6/622.s","622","Reuse PrecipiceBlades (MOVE_PRECIPICE_BLADES) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: PrecipiceBlades. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_MOUNTAIN_CHUNK","Mountain Chunk","Ground","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen7/670.s","670","Reuse High Horsepower (MOVE_HIGH_HORSEPOWER) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: High Horsepower. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_ARCHER_SHOT","Archer Shot","Normal","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen5/501.s","501","Reuse Chip Away (MOVE_CHIP_AWAY) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Chip Away. Confidence: medium. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_FROST_BRAND","Frost Brand","Ice","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen7/668.s","668","Reuse Ice Hammer (MOVE_ICE_HAMMER) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Ice Hammer. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_FROST_BOLT","Frost Bolt","Ice","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen7/668.s","668","Reuse Ice Hammer (MOVE_ICE_HAMMER) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Ice Hammer. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_SCATTER_BLAST","Scatter Blast","Ground","Special","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/818.s","818","Reuse Scorching Sands (MOVE_SCORCHING_SANDS) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Scorching Sands. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_CUTSIE_SLAP","Cutsie Slap","Fairy","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen7/729.s","729","Reuse Let’s Snuggle (MOVE_LETS_SNUGGLE_FOREVER) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Let’s Snuggle. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_TECTONIC_FANGS","Tectonic Fangs","Ground","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen5/532.s","532","Reuse Drill Run (MOVE_DRILL_RUN) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Drill Run. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_CUPID_SHOT","Cupid Shot","Fairy","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/792.s","792","Reuse Spirit Break (MOVE_SPIRIT_BREAK) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Spirit Break. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_FUMIGATION_BOMB","Fumigation Bomb","Poison","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/830.s","830","Reuse Dire Claw (MOVE_DIRE_CLAW) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Dire Claw. Confidence: medium. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_FLAME_TONGUE","Flame Tongue","Fire","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen9/899.s","899","Reuse Blazing Torque (MOVE_BLAZING_TORQUE) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Blazing Torque. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_LOTUS_SHOWER","Lotus Shower","Grass","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen6/575.s","575","Reuse Petal Blizzard (MOVE_PETAL_BLIZZARD) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Petal Blizzard. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_BLOOD_SHOT","Blood Shot","Dark","Status","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen6/578.s","578","Reuse Parting Shot (MOVE_PARTING_SHOT) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Parting Shot. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_STARBURST","Starburst","Normal","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen5/501.s","501","Reuse Chip Away (MOVE_CHIP_AWAY) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Chip Away. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_CREEPING_THORNS","Creeping Thorns","Grass","Status","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen5/541.s","541","Reuse Cotton Guard (MOVE_COTTON_GUARD) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Cotton Guard. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_SEPTIC_SWITCH","Septic Switch","Poison","Status","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen5/492.s","492","Reuse Coil (MOVE_COIL) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Coil. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_OBSCURED_SHOT","Obscured Shot","Dark","Special","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen5/542.s","542","Reuse Night Daze (MOVE_NIGHT_DAZE) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Night Daze. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_BLITZ_ARROW","Blitz Arrow","Fighting","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/846.s","846","Reuse Triple Arrows (MOVE_TRIPLE_ARROWS) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Triple Arrows. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"PRIMALSUN","Primal Sun","Fire","Status","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen9/911.s","911","Reuse Burning Bulwark (MOVE_BURNING_BULWARK) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Burning Bulwark. Confidence: medium. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"FROSTWALKER","Frost Walker","Ice","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen7/668.s","668","Reuse Ice Hammer (MOVE_ICE_HAMMER) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Ice Hammer. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"WAVELASH","Wave Lash","Water","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen7/713.s","713","Reuse Liquidation (MOVE_LIQUIDATION) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Liquidation. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"FIRECRACKERS","Fire Crackers","Fire","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen7/683.s","683","Reuse Fire Lash (MOVE_FIRE_LASH) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Fire Lash. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"SWIFTSTRIKE","Swift Strike","Fighting","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen5/493.s","493","Reuse Low Sweep (MOVE_LOW_SWEEP) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Low Sweep. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"FANGLEECH","Fang Leech","Dragon","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/802.s","802","Reuse Scale Shot (MOVE_SCALE_SHOT) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Scale Shot. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"SHADOWSTEP","Shadow Step","Fighting","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/779.s","779","Reuse Body Press (MOVE_BODY_PRESS) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Body Press. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"DRUMBEAT","Drum Beat","Sound","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/781.s","781","Reuse Drum Beating (MOVE_DRUM_BEATING) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Drum Beating. Confidence: manual-rescue. Basis: move type/category plus name/effect/tag similarity; manually selected for custom/unknown source typing. This is an assigned DS-native visual, not claimed as the source game's original animation."
"BEATDROP","Beat Drop","Sound","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen6/589.s","589","Reuse Boomburst (MOVE_BOOMBURST) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Boomburst. Confidence: manual-rescue. Basis: move type/category plus name/effect/tag similarity; manually selected for custom/unknown source typing. This is an assigned DS-native visual, not claimed as the source game's original animation."
"BLAZINGBULL","Blazing Bull","Fire","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen9/899.s","899","Reuse Blazing Torque (MOVE_BLAZING_TORQUE) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Blazing Torque. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"SURGINGBULL","Surging Bull","Water","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen7/713.s","713","Reuse Liquidation (MOVE_LIQUIDATION) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Liquidation. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"ENIGMATICDASH","Enigmatic Dash","Fairy","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/792.s","792","Reuse Spirit Break (MOVE_SPIRIT_BREAK) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Spirit Break. Confidence: medium. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"BLAZINGSTAMPEDE","Blazing Stampede","Fire","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen9/899.s","899","Reuse Blazing Torque (MOVE_BLAZING_TORQUE) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Blazing Torque. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"IRONBARB","Iron Barb","Steel","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/777.s","777","Reuse Max Steelspike (MOVE_MAX_STEELSPIKE) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Max Steelspike. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"KAOLINBASH","Kaolin Bash","Ground","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen6/618.s","618","Reuse Thousand Waves (MOVE_THOUSAND_WAVES) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Thousand Waves. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"DIAMONDBREATH","Diamond Breath","Rock","Special","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/803.s","803","Reuse Meteor Beam (MOVE_METEOR_BEAM) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Meteor Beam. Confidence: medium. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"SOVEREIGNEDGE","Sovereign Edge","Steel","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/785.s","785","Reuse Behemoth Bash (MOVE_BEHEMOTH_BASH) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Behemoth Bash. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"HEATEDREVUP","Heated Rev Up","Fire","Status","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen9/911.s","911","Reuse Burning Bulwark (MOVE_BURNING_BULWARK) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Burning Bulwark. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"NIGHTBOUQUET","Night Bouquet","Poison","Special","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen5/477.s","477","Reuse Venoshock (MOVE_VENOSHOCK) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Venoshock. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"TRIPLEWHIRLING","Triple Whirling","Psychic","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen7/709.s","709","Reuse Psychic Fangs (MOVE_PSYCHIC_FANGS) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Psychic Fangs. Confidence: medium. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"CODEPOWER","Code:Power","Poison","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen9/869.s","869","Reuse Mortal Spin (MOVE_MORTAL_SPIN) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Mortal Spin. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"CODEQUARANTINE","Code:Quarantine","Electric","Status","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen6/605.s","605","Reuse Magnetic Flux (MOVE_MAGNETIC_FLUX) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Magnetic Flux. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"CODE:INJECTION","Code:Injection","Psychic","Special","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen6/596.s","596","Reuse Hyperspace Hole (MOVE_HYPERSPACE_HOLE) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Hyperspace Hole. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"DUNEGLIDER","Dune Glider","Ground","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen6/617.s","617","Reuse Thousand Arrows (MOVE_THOUSAND_ARROWS) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Thousand Arrows. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"GENEBLASTER","Gene Blaster","Normal","Special","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen9/854.s","854","Reuse Tera Blast (MOVE_TERA_BLAST) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Tera Blast. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"PESTILENCEBURST","Pestilence Burst","Grass","Special","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/838.s","838","Reuse Chloroblast (MOVE_CHLOROBLAST) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Chloroblast. Confidence: medium. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"NAZCAPATTERNS","Nazca Patterns","Normal","Special","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen9/854.s","854","Reuse Tera Blast (MOVE_TERA_BLAST) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Tera Blast. Confidence: medium. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"QUAKINGSPEAR","Quaking Spear","Ground","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen6/617.s","617","Reuse Thousand Arrows (MOVE_THOUSAND_ARROWS) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Thousand Arrows. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"STRIDENTSPARK","Strident Spark","Sound","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen7/724.s","724","Reuse Plasma Fists (MOVE_PLASMA_FISTS) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Plasma Fists. Confidence: medium. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"SPARKLECLUSTER","Sparkle Cluster","Fairy","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/770.s","770","Reuse Max Starfall (MOVE_MAX_STARFALL) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Max Starfall. Confidence: medium. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"SPICYMAW","Spicy Maw","Grass","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/791.s","791","Reuse Grav Apple (MOVE_GRAV_APPLE) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Grav Apple. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"SPIRITSPEAR","Spirit Spear","Dragon","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/802.s","802","Reuse Scale Shot (MOVE_SCALE_SHOT) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Scale Shot. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"SPLITMASK","Split Mask","Poison","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen9/869.s","869","Reuse Mortal Spin (MOVE_MORTAL_SPIN) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Mortal Spin. Confidence: medium. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"TETRAJECTILE","Tetrajectile","Fire","Special","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen9/893.s","893","Reuse Armor Cannon (MOVE_ARMOR_CANNON) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Armor Cannon. Confidence: medium. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"VINDUNAR","Vindunar","Flying","Special","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/849.s","849","Reuse BleakwindStorm (MOVE_BLEAKWIND_STORM) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: BleakwindStorm. Confidence: medium. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"WHIRLYHELIX","Whirly Helix","Flying","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen5/510.s","510","Reuse Sky Drop (MOVE_SKY_DROP) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Sky Drop. Confidence: medium. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"RHYTHMICCOMBO","Rhythmic Combo","Sound","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/816.s","816","Reuse Triple Axel (MOVE_TRIPLE_AXEL) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Triple Axel. Confidence: manual-rescue. Basis: move type/category plus name/effect/tag similarity; manually selected for custom/unknown source typing. This is an assigned DS-native visual, not claimed as the source game's original animation."
