move_id,move_constant,generation,effect_id,effect_constant,effect_script,upstream_flag_unimplemented,source_commit
485,MOVE_SLUDGE_WAVE,Gen 5,2,MOVE_EFFECT_POISON_HIT,mechanics/hg-engine/effects/effect_script_0002_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
486,MOVE_QUIVER_DANCE,Gen 5,283,MOVE_EFFECT_SP_ATK_SP_DEF_SPEED_UP,mechanics/hg-engine/effects/effect_script_0283_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
487,MOVE_HEAVY_SLAM,Gen 5,292,MOVE_EFFECT_HEAVY_SLAM,mechanics/hg-engine/effects/effect_script_0292_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
488,MOVE_SYNCHRONOISE,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
489,MOVE_ELECTRO_BALL,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
490,MOVE_SOAK,Gen 5,284,MOVE_EFFECT_CHANGE_TO_WATER_TYPE,mechanics/hg-engine/effects/effect_script_0284_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
491,MOVE_FLAME_CHARGE,Gen 5,285,MOVE_EFFECT_RAISE_SPEED_HIT,mechanics/hg-engine/effects/effect_script_0285_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
492,MOVE_COIL,Gen 5,286,MOVE_EFFECT_ATK_DEF_ACC_UP,mechanics/hg-engine/effects/effect_script_0286_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
493,MOVE_LOW_SWEEP,Gen 5,70,MOVE_EFFECT_LOWER_SPEED_HIT,mechanics/hg-engine/effects/effect_script_0070_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
494,MOVE_ACID_SPRAY,Gen 5,271,MOVE_EFFECT_LOWER_SP_DEF_2_HIT,mechanics/hg-engine/effects/effect_script_0271_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
495,MOVE_FOUL_PLAY,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
496,MOVE_SIMPLE_BEAM,Gen 5,323,MOVE_EFFECT_SET_ABILITY_TO_SIMPLE,mechanics/hg-engine/effects/effect_script_0323_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
497,MOVE_ENTRAINMENT,Gen 5,384,MOVE_EFFECT_ENTRAINMENT,mechanics/hg-engine/effects/effect_script_0384_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
498,MOVE_AFTER_YOU,Gen 5,305,MOVE_EFFECT_AFTER_YOU,mechanics/hg-engine/effects/effect_script_0305_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
499,MOVE_ROUND,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
500,MOVE_ECHOED_VOICE,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
501,MOVE_CHIP_AWAY,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
502,MOVE_CLEAR_SMOG,Gen 5,390,MOVE_EFFECT_CLEAR_SMOG,mechanics/hg-engine/effects/effect_script_0390_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
503,MOVE_STORED_POWER,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
504,MOVE_QUICK_GUARD,Gen 5,371,MOVE_EFFECT_PROTECT_USER_SIDE,mechanics/hg-engine/effects/effect_script_0371_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
505,MOVE_ALLY_SWITCH,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
506,MOVE_SCALD,Gen 5,125,MOVE_EFFECT_THAW_AND_BURN_HIT,mechanics/hg-engine/effects/effect_script_0125_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
507,MOVE_SHELL_SMASH,Gen 5,290,MOVE_EFFECT_ATK_SP_ATK_SPEED_UP_2_DEF_SP_DEF_DOWN,mechanics/hg-engine/effects/effect_script_0290_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
508,MOVE_HEAL_PULSE,Gen 5,379,MOVE_EFFECT_HEAL_TARGET,mechanics/hg-engine/effects/effect_script_0379_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
509,MOVE_HEX,Gen 5,287,MOVE_EFFECT_DOUBLE_DAMAGE_ON_STATUS,mechanics/hg-engine/effects/effect_script_0287_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
510,MOVE_SKY_DROP,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
511,MOVE_SHIFT_GEAR,Gen 5,288,MOVE_EFFECT_SPEED_UP_2_ATK_UP,mechanics/hg-engine/effects/effect_script_0288_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
512,MOVE_CIRCLE_THROW,Gen 5,395,MOVE_EFFECT_FORCE_SWITCH_HIT,mechanics/hg-engine/effects/effect_script_0395_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
513,MOVE_INCINERATE,Gen 5,372,MOVE_EFFECT_INCINERATE,mechanics/hg-engine/effects/effect_script_0372_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
514,MOVE_QUASH,Gen 5,306,MOVE_EFFECT_QUASH,mechanics/hg-engine/effects/effect_script_0306_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
515,MOVE_ACROBATICS,Gen 5,289,MOVE_EFFECT_DOUBLE_POWER_WITHOUT_ITEM,mechanics/hg-engine/effects/effect_script_0289_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
516,MOVE_REFLECT_TYPE,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
517,MOVE_RETALIATE,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
518,MOVE_FINAL_GAMBIT,Gen 5,402,MOVE_EFFECT_FINAL_GAMBIT,mechanics/hg-engine/effects/effect_script_0402_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
519,MOVE_BESTOW,Gen 5,404,MOVE_EFFECT_GIVE_HELD_ITEM,mechanics/hg-engine/effects/effect_script_0404_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
520,MOVE_INFERNO,Gen 5,4,MOVE_EFFECT_BURN_HIT,mechanics/hg-engine/effects/effect_script_0004_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
521,MOVE_WATER_PLEDGE,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
522,MOVE_FIRE_PLEDGE,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
523,MOVE_GRASS_PLEDGE,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
524,MOVE_VOLT_SWITCH,Gen 5,228,MOVE_EFFECT_SWITCH_HIT,mechanics/hg-engine/effects/effect_script_0228_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
525,MOVE_STRUGGLE_BUG,Gen 5,71,MOVE_EFFECT_LOWER_SP_ATK_HIT,mechanics/hg-engine/effects/effect_script_0071_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
526,MOVE_BULLDOZE,Gen 5,70,MOVE_EFFECT_LOWER_SPEED_HIT,mechanics/hg-engine/effects/effect_script_0070_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
527,MOVE_FROST_BREATH,Gen 5,282,MOVE_EFFECT_ALWAYS_CRITICAL,mechanics/hg-engine/effects/effect_script_0282_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
528,MOVE_DRAGON_TAIL,Gen 5,395,MOVE_EFFECT_FORCE_SWITCH_HIT,mechanics/hg-engine/effects/effect_script_0395_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
529,MOVE_WORK_UP,Gen 5,295,MOVE_EFFECT_ATK_SP_ATK_UP,mechanics/hg-engine/effects/effect_script_0295_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
530,MOVE_ELECTROWEB,Gen 5,70,MOVE_EFFECT_LOWER_SPEED_HIT,mechanics/hg-engine/effects/effect_script_0070_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
531,MOVE_WILD_CHARGE,Gen 5,198,MOVE_EFFECT_RECOIL_THIRD,mechanics/hg-engine/effects/effect_script_0198_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
532,MOVE_DRILL_RUN,Gen 5,43,MOVE_EFFECT_HIGH_CRITICAL,mechanics/hg-engine/effects/effect_script_0043_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
533,MOVE_DUAL_CHOP,Gen 5,44,MOVE_EFFECT_HIT_TWICE,mechanics/hg-engine/effects/effect_script_0044_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
534,MOVE_HEART_STAMP,Gen 5,31,MOVE_EFFECT_FLINCH_HIT,mechanics/hg-engine/effects/effect_script_0031_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
535,MOVE_HORN_LEECH,Gen 5,3,MOVE_EFFECT_RECOVER_HALF_DAMAGE_DEALT,mechanics/hg-engine/effects/effect_script_0003_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
536,MOVE_SACRED_SWORD,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
537,MOVE_RAZOR_SHELL,Gen 5,69,MOVE_EFFECT_LOWER_DEFENSE_HIT,mechanics/hg-engine/effects/effect_script_0069_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
538,MOVE_HEAT_CRASH,Gen 5,292,MOVE_EFFECT_HEAVY_SLAM,mechanics/hg-engine/effects/effect_script_0292_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
539,MOVE_LEAF_TORNADO,Gen 5,73,MOVE_EFFECT_LOWER_ACCURACY_HIT,mechanics/hg-engine/effects/effect_script_0073_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
540,MOVE_STEAMROLLER,Gen 5,150,MOVE_EFFECT_FLINCH_MINIMIZE_DOUBLE_HIT,mechanics/hg-engine/effects/effect_script_0150_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
541,MOVE_COTTON_GUARD,Gen 5,328,MOVE_EFFECT_DEF_UP_3,mechanics/hg-engine/effects/effect_script_0328_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
542,MOVE_NIGHT_DAZE,Gen 5,73,MOVE_EFFECT_LOWER_ACCURACY_HIT,mechanics/hg-engine/effects/effect_script_0073_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
543,MOVE_PSYSTRIKE,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
544,MOVE_TAIL_SLAP,Gen 5,29,MOVE_EFFECT_MULTI_HIT,mechanics/hg-engine/effects/effect_script_0029_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
545,MOVE_HURRICANE,Gen 5,341,MOVE_EFFECT_HURRICANE,mechanics/hg-engine/effects/effect_script_0341_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
546,MOVE_HEAD_CHARGE,Gen 5,198,MOVE_EFFECT_RECOIL_THIRD,mechanics/hg-engine/effects/effect_script_0198_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
547,MOVE_GEAR_GRIND,Gen 5,44,MOVE_EFFECT_HIT_TWICE,mechanics/hg-engine/effects/effect_script_0044_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
548,MOVE_SEARING_SHOT,Gen 5,4,MOVE_EFFECT_BURN_HIT,mechanics/hg-engine/effects/effect_script_0004_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
549,MOVE_TECHNO_BLAST,Gen 5,307,MOVE_EFFECT_TECHNO_BLAST,mechanics/hg-engine/effects/effect_script_0307_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
550,MOVE_RELIC_SONG,Gen 5,301,MOVE_EFFECT_SLEEP_HIT,mechanics/hg-engine/effects/effect_script_0301_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
551,MOVE_SECRET_SWORD,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
552,MOVE_GLACIATE,Gen 5,70,MOVE_EFFECT_LOWER_SPEED_HIT,mechanics/hg-engine/effects/effect_script_0070_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
553,MOVE_BOLT_STRIKE,Gen 5,6,MOVE_EFFECT_PARALYZE_HIT,mechanics/hg-engine/effects/effect_script_0006_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
554,MOVE_BLUE_FLARE,Gen 5,4,MOVE_EFFECT_BURN_HIT,mechanics/hg-engine/effects/effect_script_0004_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
555,MOVE_FIERY_DANCE,Gen 5,276,MOVE_EFFECT_RAISE_SP_ATK_HIT,mechanics/hg-engine/effects/effect_script_0276_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
556,MOVE_FREEZE_SHOCK,Gen 5,363,MOVE_EFFECT_CHARGE_TURN_PARALYZE_HIT,mechanics/hg-engine/effects/effect_script_0363_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
557,MOVE_ICE_BURN,Gen 5,364,MOVE_EFFECT_CHARGE_TURN_BURN_HIT,mechanics/hg-engine/effects/effect_script_0364_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
558,MOVE_SNARL,Gen 5,71,MOVE_EFFECT_LOWER_SP_ATK_HIT,mechanics/hg-engine/effects/effect_script_0071_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
559,MOVE_ICICLE_CRASH,Gen 5,31,MOVE_EFFECT_FLINCH_HIT,mechanics/hg-engine/effects/effect_script_0031_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
560,MOVE_V_CREATE,Gen 5,291,MOVE_EFFECT_USER_DEF_SP_DEF_SPEED_DOWN_HIT,mechanics/hg-engine/effects/effect_script_0291_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
561,MOVE_FUSION_FLARE,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
562,MOVE_FUSION_BOLT,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
563,MOVE_FLYING_PRESS,Gen 6,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
564,MOVE_MAT_BLOCK,Gen 6,371,MOVE_EFFECT_PROTECT_USER_SIDE,mechanics/hg-engine/effects/effect_script_0371_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
565,MOVE_BELCH,Gen 6,396,MOVE_EFFECT_BELCH,mechanics/hg-engine/effects/effect_script_0396_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
566,MOVE_ROTOTILLER,Gen 6,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
567,MOVE_STICKY_WEB,Gen 6,326,MOVE_EFFECT_STICKY_WEB,mechanics/hg-engine/effects/effect_script_0326_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
568,MOVE_FELL_STINGER,Gen 6,388,MOVE_EFFECT_FELL_STINGER,mechanics/hg-engine/effects/effect_script_0388_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
569,MOVE_PHANTOM_FORCE,Gen 6,272,MOVE_EFFECT_SHADOW_FORCE,mechanics/hg-engine/effects/effect_script_0272_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
570,MOVE_TRICK_OR_TREAT,Gen 6,375,MOVE_EFFECT_ADD_TYPE_GHOST,mechanics/hg-engine/effects/effect_script_0375_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
571,MOVE_NOBLE_ROAR,Gen 6,362,MOVE_EFFECT_ATK_SP_ATK_DOWN,mechanics/hg-engine/effects/effect_script_0362_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
572,MOVE_ION_DELUGE,Gen 6,391,MOVE_EFFECT_ION_DELUGE,mechanics/hg-engine/effects/effect_script_0391_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
573,MOVE_PARABOLIC_CHARGE,Gen 6,3,MOVE_EFFECT_RECOVER_HALF_DAMAGE_DEALT,mechanics/hg-engine/effects/effect_script_0003_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
574,MOVE_FORESTS_CURSE,Gen 6,374,MOVE_EFFECT_ADD_TYPE_GRASS,mechanics/hg-engine/effects/effect_script_0374_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
575,MOVE_PETAL_BLIZZARD,Gen 6,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
576,MOVE_FREEZE_DRY,Gen 6,5,MOVE_EFFECT_FREEZE_HIT,mechanics/hg-engine/effects/effect_script_0005_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
577,MOVE_DISARMING_VOICE,Gen 6,17,MOVE_EFFECT_BYPASS_ACCURACY,mechanics/hg-engine/effects/effect_script_0017_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
578,MOVE_PARTING_SHOT,Gen 6,389,MOVE_EFFECT_PARTING_SHOT,mechanics/hg-engine/effects/effect_script_0389_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
579,MOVE_TOPSY_TURVY,Gen 6,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
580,MOVE_DRAINING_KISS,Gen 6,347,MOVE_EFFECT_RECOVER_THREE_QUARTERS_DAMAGE_DEALT,mechanics/hg-engine/effects/effect_script_0347_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
581,MOVE_CRAFTY_SHIELD,Gen 6,371,MOVE_EFFECT_PROTECT_USER_SIDE,mechanics/hg-engine/effects/effect_script_0371_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
582,MOVE_FLOWER_SHIELD,Gen 6,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
583,MOVE_GRASSY_TERRAIN,Gen 6,294,MOVE_EFFECT_APPLY_TERRAINS,mechanics/hg-engine/effects/effect_script_0294_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
584,MOVE_MISTY_TERRAIN,Gen 6,294,MOVE_EFFECT_APPLY_TERRAINS,mechanics/hg-engine/effects/effect_script_0294_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
585,MOVE_ELECTRIFY,Gen 6,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
586,MOVE_PLAY_ROUGH,Gen 6,68,MOVE_EFFECT_LOWER_ATTACK_HIT,mechanics/hg-engine/effects/effect_script_0068_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
587,MOVE_FAIRY_WIND,Gen 6,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
588,MOVE_MOONBLAST,Gen 6,71,MOVE_EFFECT_LOWER_SP_ATK_HIT,mechanics/hg-engine/effects/effect_script_0071_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
589,MOVE_BOOMBURST,Gen 6,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
590,MOVE_FAIRY_LOCK,Gen 6,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
591,MOVE_KINGS_SHIELD,Gen 6,111,MOVE_EFFECT_PROTECT,mechanics/hg-engine/effects/effect_script_0111_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
592,MOVE_PLAY_NICE,Gen 6,18,MOVE_EFFECT_ATK_DOWN,mechanics/hg-engine/effects/effect_script_0018_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
593,MOVE_CONFIDE,Gen 6,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
594,MOVE_DIAMOND_STORM,Gen 6,317,MOVE_EFFECT_RAISE_DEF_2_HIT,mechanics/hg-engine/effects/effect_script_0317_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
595,MOVE_STEAM_ERUPTION,Gen 6,125,MOVE_EFFECT_THAW_AND_BURN_HIT,mechanics/hg-engine/effects/effect_script_0125_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
596,MOVE_HYPERSPACE_HOLE,Gen 6,223,MOVE_EFFECT_REMOVE_PROTECT,mechanics/hg-engine/effects/effect_script_0223_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
597,MOVE_WATER_SHURIKEN,Gen 6,29,MOVE_EFFECT_MULTI_HIT,mechanics/hg-engine/effects/effect_script_0029_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
598,MOVE_MYSTICAL_FIRE,Gen 6,71,MOVE_EFFECT_LOWER_SP_ATK_HIT,mechanics/hg-engine/effects/effect_script_0071_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
599,MOVE_SPIKY_SHIELD,Gen 6,111,MOVE_EFFECT_PROTECT,mechanics/hg-engine/effects/effect_script_0111_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
600,MOVE_AROMATIC_MIST,Gen 6,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
601,MOVE_EERIE_IMPULSE,Gen 6,61,MOVE_EFFECT_SP_ATK_DOWN_2,mechanics/hg-engine/effects/effect_script_0061_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
602,MOVE_VENOM_DRENCH,Gen 6,361,MOVE_EFFECT_VENOM_DRENCH,mechanics/hg-engine/effects/effect_script_0361_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
603,MOVE_POWDER,Gen 6,398,MOVE_EFFECT_POWDER,mechanics/hg-engine/effects/effect_script_0398_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
604,MOVE_GEOMANCY,Gen 6,318,MOVE_EFFECT_CHARGE_TURN_ATK_SP_ATK_SPEED_UP_2,mechanics/hg-engine/effects/effect_script_0318_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
605,MOVE_MAGNETIC_FLUX,Gen 6,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
606,MOVE_HAPPY_HOUR,Gen 6,85,MOVE_EFFECT_DO_NOTHING,mechanics/hg-engine/effects/effect_script_0085_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
