"move_id","move_name","type","category","source_animation_evidence","ds_animation_class","ds_animation_path","port_action","notes"
"CHILLINGWAIL","Chilling Wail","Ghost","Special","Pinned Data/move2anim.dat directly maps CHILLINGWAIL to player-side animation ID 1153; the referenced animation records are stored in Data/PkmnAnimations.rxdata.","source-mapped cross-engine animation; not DS-native","source:Data/PkmnAnimations.rxdata#player=1153","recreate/convert the mapped Pokémon Essentials (RGSS) battle animation for Platinum/hg-engine DS; preserve the source mapping as visual reference","Mapping semantics are source-certified by Data/Scripts/011_Battle/003_Scene/004_Scene_PlayAnimations.rb: move2anim[0] is player-side and move2anim[1] is opposing-side."
"MYSTICBLADE","Mystic Blade","Fairy","Physical","Pinned Data/move2anim.dat directly maps MYSTICBLADE to player-side animation ID 1145 and opponent-side animation ID 1146; the referenced animation records are stored in Data/PkmnAnimations.rxdata.","source-mapped cross-engine animation; not DS-native","source:Data/PkmnAnimations.rxdata#player=1145;opponent=1146","recreate/convert the mapped Pokémon Essentials (RGSS) battle animation for Platinum/hg-engine DS; preserve the source mapping as visual reference","Mapping semantics are source-certified by Data/Scripts/011_Battle/003_Scene/004_Scene_PlayAnimations.rb: move2anim[0] is player-side and move2anim[1] is opposing-side."
"FORCEWAVE","Force Wave","Fighting","Special","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for FORCEWAVE.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"GEODEBURST","Geode Burst","Rock","Special","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for GEODEBURST.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"FORGEBREATH","Forge Breath","Steel","Special","Pinned Data/move2anim.dat directly maps FORGEBREATH to player-side animation ID 1147; the referenced animation records are stored in Data/PkmnAnimations.rxdata.","source-mapped cross-engine animation; not DS-native","source:Data/PkmnAnimations.rxdata#player=1147","recreate/convert the mapped Pokémon Essentials (RGSS) battle animation for Platinum/hg-engine DS; preserve the source mapping as visual reference","Mapping semantics are source-certified by Data/Scripts/011_Battle/003_Scene/004_Scene_PlayAnimations.rb: move2anim[0] is player-side and move2anim[1] is opposing-side."
"EXCITE","Excite","Normal","Status","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for EXCITE.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"SCATTERDUST","Scatterdust","Bug","Special","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for SCATTERDUST.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"SWEETTOOTH","Sweet Tooth","Fairy","Physical","Pinned Data/move2anim.dat directly maps SWEETTOOTH to player-side animation ID 1158; the referenced animation records are stored in Data/PkmnAnimations.rxdata.","source-mapped cross-engine animation; not DS-native","source:Data/PkmnAnimations.rxdata#player=1158","recreate/convert the mapped Pokémon Essentials (RGSS) battle animation for Platinum/hg-engine DS; preserve the source mapping as visual reference","Mapping semantics are source-certified by Data/Scripts/011_Battle/003_Scene/004_Scene_PlayAnimations.rb: move2anim[0] is player-side and move2anim[1] is opposing-side."
"SUPERNOVA","Impact Event","Fire","Physical","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for SUPERNOVA.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"PEPPERSPRAY","Pepper Spray","Grass","Special","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for PEPPERSPRAY.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"TITANSWRATH","Titan's Wrath","Qmarks","Special","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for TITANSWRATH.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"SIRENSONG","Siren Song","Water","Special","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for SIRENSONG.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"REBALANCING","Rebalancing","Fighting","Status","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for REBALANCING.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"FRIGIDMAW","Frigid Maw","Ice","Physical","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for FRIGIDMAW.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"MANADRAIN","Mana Drain","Dragon","Special","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for MANADRAIN.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"STEAMBURST","Steam Burst","Fire","Special","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for STEAMBURST.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"QUESOBLAST","Queso Blast","Qmarks","Physical","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for QUESOBLAST.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"CRIMSONSURGE","Crimson Surge","Water","Special","Pinned Data/move2anim.dat directly maps CRIMSONSURGE to player-side animation ID 1151 and opponent-side animation ID 1152; the referenced animation records are stored in Data/PkmnAnimations.rxdata.","source-mapped cross-engine animation; not DS-native","source:Data/PkmnAnimations.rxdata#player=1151;opponent=1152","recreate/convert the mapped Pokémon Essentials (RGSS) battle animation for Platinum/hg-engine DS; preserve the source mapping as visual reference","Mapping semantics are source-certified by Data/Scripts/011_Battle/003_Scene/004_Scene_PlayAnimations.rb: move2anim[0] is player-side and move2anim[1] is opposing-side."
"THOUSANDFOLDS","Thousand Folds","Steel","Physical","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for THOUSANDFOLDS.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"HARDDRIVECRASH","Hard Drive Crash","Qmarks","Special","Pinned Data/move2anim.dat directly maps HARDDRIVECRASH to player-side animation ID 1144; the referenced animation records are stored in Data/PkmnAnimations.rxdata.","source-mapped cross-engine animation; not DS-native","source:Data/PkmnAnimations.rxdata#player=1144","recreate/convert the mapped Pokémon Essentials (RGSS) battle animation for Platinum/hg-engine DS; preserve the source mapping as visual reference","Mapping semantics are source-certified by Data/Scripts/011_Battle/003_Scene/004_Scene_PlayAnimations.rb: move2anim[0] is player-side and move2anim[1] is opposing-side. The source also calls pbCommonAnimation(""HardDriveCrash"") before the normal move animation, so its final source presentation is layered."
"SPLINTERSHOT","Splinter Shot","Grass","Physical","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for SPLINTERSHOT.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"BOOMINSTALL","Virus Inject","Qmarks","Status","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for BOOMINSTALL.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"TRIMTACKLE","Trim Tackle","Normal","Physical","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for TRIMTACKLE.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"STALAGBITE","Stalagbite","Rock","Physical","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for STALAGBITE.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"GLACIALGULF","Glacial Gulf","Ice","Status","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for GLACIALGULF.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"GOLDENSPLASH","Golden Splash","Water","Special","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for GOLDENSPLASH.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
