"move_id","move_name","type","category","source_animation_evidence","ds_animation_class","ds_animation_path","port_action","notes"
"PODERAQUA","Poder Aqua","Water","Special","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"ARENAILUSORIA","Arena Ilusoria","Ground","Special","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"LLUVIAPUNOS","Lluvia de Puños","Fighting","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"MPREDATORIO","Mordisco Feroz","Grass","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"MENTEREY","Semblante Real","Psychic","Special","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"PODEREVOL","Poder Evolutivo","Ground","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"EBULLICIÓN","Ebullición","Water","Special","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"TRESDESEOS","Tres Deseos","Fairy","Special","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"RITOCHAMANICO","Rito Chamánico","Fire","Status","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"GOLPESABANA","Golpe Sabana","Grass","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"AGUIJONLETAL","Ardor Nocivo","Poison","Special","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"VIRAZON","Virazón","Water","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"COMBUSCRIN","Combuscrin","Fire","Special","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"MIGRACIÓN","Migración","Flying","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"PATRONAJE","Patronaje","Shadow","Status","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"AEROGENERADOR","Aerogenerador","Electric","Special","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"HIEDRAAGIL","Hiedra Ágil","Grass","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"TASER","Táser","Electric","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"AGUANOCIVA","Aguas Nocivas","Water","Special","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"FUEGOCRUZADO","Fuego Cruzado","Fire","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"CONJUROSOLAR","Fuerza Solar","Fairy","Special","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"CACAREO","Cacareo","Fairy","Special","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"TERRAL","Endodrenaje","Fire","Special","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"PODERPRIMATE","Poder Primate","Normal","Status","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"ELECTROPUNZADA","Electropunzada","Electric","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"ELECTROARENA","Electroarena","Ground","Special","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"COMECEREBRO","Comecerebro","Ghost","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"ROCAVOLTAICA","Roca Voltaica","Rock","Special","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"GHOSTGALLOP","Galope Espectral","Ghost","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"IRALLAMEANTE","Ira Llameante","Fire","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"ENFRIAR","Enfriar","Ice","Status","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"AHOGAMIENTO","Zambullida","Water","Special","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"DESPRENDIMIENTO","Desprendimiento","Rock","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"PUASSOBERANAS","Dardos Reales","Poison","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"MORDISCOCARDUMEN","Mor. Cardúmen","Water","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"BIFIDOVOLADOR","Golpe Bífido","Flying","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
