"candidate_index","provisional_ds_id","batch_id","move_id","move_name","type","category","power","accuracy","pp","mechanics_audit_status","animation_class","animation_reference","visual_policy"
"25","947","BULK01","MOVE_FROST_BOLT","Frost Bolt","Ice","Physical","80","100","20","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"26","948","BULK01","MOVE_GLACIER_CRASH","Glacier Crash","Ice","Physical","95","100","20","complete","direct hg-engine DS reuse","MOVE_ICICLE_CRASH","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"27","949","BULK01","MOVE_SUPERSONIC_SHOT","Supersonic Shot","Flying","Physical","60","100","10","complete","direct Platinum/base-era DS reuse","MOVE_SUPERSONIC","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"28","950","BULK01","MOVE_ZEPHYR_RUSH","Zephyr Rush","Flying","Physical","100","95","10","complete","direct Platinum/base-era DS reuse","MOVE_JUMP_KICK","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"29","951","BULK01","MOVE_KINETIC_BARRAGE","Kinetic Barrage","Psychic","Physical","90","100","20","complete","direct Platinum/base-era DS reuse","MOVE_STRENGTH","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"30","952","BULK01","MOVE_FERTILE_FANGS","Fertile Fangs","Grass","Physical","80","100","20","complete","direct Platinum/base-era DS reuse","MOVE_LEECH_LIFE","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"31","953","BULK01","MOVE_SCATTER_BLAST","Scatter Blast","Ground","Special","65","100","5","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"32","954","BULK01","MOVE_JAGGED_PUNCH","Jagged Punch","Rock","Physical","80","100","10","complete","direct Platinum/base-era DS reuse","MOVE_MACH_PUNCH","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"33","955","BULK01","MOVE_CUTSIE_SLAP","Cutsie Slap","Fairy","Physical","85","100","10","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"34","956","BULK01","MOVE_FAIRY_SPHERES","Fairy Spheres","Fairy","Physical","20","100","10","complete","direct Platinum/base-era DS reuse","MOVE_DOUBLE_SLAP","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"35","957","BULK01","MOVE_BRAMBLE_BLAST","Bramble Blast","Grass","Physical","85","100","10","complete","direct Platinum/base-era DS reuse","MOVE_POISON_STING","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"36","958","BULK01","MOVE_ASTEROID_DOWNFALL","Asteroid Shot","Rock","Physical","90","","20","complete","direct hg-engine DS reuse","MOVE_SMACK_DOWN","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"37","959","BULK01","MOVE_AQUA_BASH","Aqua Bash","Water","Physical","80","100","15","complete","direct Platinum/base-era DS reuse","MOVE_AQUA_TAIL","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"38","960","BULK01","MOVE_TECTONIC_FANGS","Tectonic Fangs","Ground","Physical","85","100","15","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"39","961","BULK01","MOVE_CUPID_SHOT","Cupid Shot","Fairy","Physical","75","100","10","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"40","962","BULK01","MOVE_CLAY_DART","Clay Dart","Ground","Physical","80","100","10","complete","direct hg-engine DS reuse","MOVE_THOUSAND_ARROWS","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"41","963","BULK01","MOVE_DIAMOND_ARROW","Diamond Arrow","Rock","Physical","85","100","10","complete","direct hg-engine DS reuse","MOVE_THOUSAND_ARROWS","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"42","964","BULK01","MOVE_DIAMOND_BLADE","Diamond Blade","Rock","Physical","80","100","10","complete","direct Platinum/base-era DS reuse","MOVE_CUT","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"43","965","BULK01","MOVE_VENOM_BOLT","Venom Bolt","Poison","Physical","75","100","10","complete","direct Platinum/base-era DS reuse","MOVE_POISON_STING","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"44","966","BULK01","MOVE_FUMIGATION_BOMB","Fumigation Bomb","Poison","Physical","75","100","10","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"45","967","BULK01","MOVE_BLACK_MAGIC","Black Magic","Dark","Physical","90","100","10","complete","direct Platinum/base-era DS reuse","MOVE_DARK_PULSE","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"46","968","BULK01","MOVE_FLAME_TONGUE","Flame Tongue","Fire","Physical","80","100","10","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"47","969","BULK01","MOVE_BLAZING_ARROW","Blazing Arrow","Fire","Physical","80","100","10","complete","direct hg-engine DS reuse","MOVE_FIRE_LASH","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"48","970","BULK01","MOVE_ROCKET_PUNCH","Rocket Shot","Steel","Physical","100","100","10","complete","direct Platinum/base-era DS reuse","MOVE_COMET_PUNCH","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"49","971","BULK01","MOVE_WEB_SHOT","Web Shot","Bug","Physical","75","100","10","complete","direct hg-engine DS reuse","MOVE_STICKY_WEB","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"50","972","BULK01","MOVE_AURA_FORCE","Aura Force","Fighting","Physical","70","100","10","complete","direct Platinum/base-era DS reuse","MOVE_AURA_SPHERE","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"51","973","BULK02","MOVE_DRAKE_MISSILE","Draco Missile","Dragon","Physical","100","90","10","complete","direct Platinum/base-era DS reuse","MOVE_AURA_SPHERE","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"52","974","BULK02","MOVE_LOTUS_SHOWER","Lotus Shower","Grass","Physical","85","100","10","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"53","975","BULK02","MOVE_JAGGED_HORNS","Jagged Horns","Rock","Physical","85","100","10","complete","direct Platinum/base-era DS reuse","MOVE_HORN_ATTACK","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"54","976","BULK02","MOVE_BLOOD_SHOT","Blood Shot","Dark","Status","","100","10","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"55","977","BULK02","MOVE_FLASH_FREEZE","Flash Freeze","Ice","Status","","90","10","complete","direct hg-engine DS reuse","MOVE_FREEZE_DRY","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"56","978","BULK02","MOVE_PHANTOM_GLOVES","Phantom Glove","Ghost","Physical","85","100","10","complete","direct Platinum/base-era DS reuse","MOVE_SHADOW_CLAW","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"57","979","BULK02","MOVE_HOMING_FLETCH","Homing Fletch","Steel","Physical","80","","10","complete","direct hg-engine DS reuse","MOVE_THOUSAND_ARROWS","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"58","980","BULK02","MOVE_DEVIOUS_SHOT","Devious Shot","Dark","Physical","80","","15","complete","direct hg-engine DS reuse","MOVE_THOUSAND_ARROWS","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"59","981","BULK02","MOVE_STARBURST","Starburst","Normal","Physical","110","90","10","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"60","982","BULK02","MOVE_CHEAP_SHOT","Cheap Shot","Dark","Physical","120","100","20","complete","direct Platinum/base-era DS reuse","MOVE_SHADOW_FORCE","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"61","983","BULK02","MOVE_TORRENT_FIST","Torrent Fist","Water","Physical","80","100","15","complete","direct hg-engine DS reuse","MOVE_SURGING_STRIKES","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"62","984","BULK02","MOVE_STAR_CRASH","Star Crash","Fairy","Physical","120","100","10","complete","direct Platinum/base-era DS reuse","MOVE_METEOR_MASH","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"63","985","BULK02","MOVE_ENERGY_WAVE","Energy Wave","Normal","Special","115","90","5","complete","direct Platinum/base-era DS reuse","MOVE_SONIC_BOOM","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"64","986","BULK02","MOVE_FLUTTERING_LEAF","Fluttering Leaf","Grass","Physical","60","100","20","complete","direct Platinum/base-era DS reuse","MOVE_U_TURN","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"65","987","BULK02","MOVE_WHIRLING_STRIKES","Whirling Strikes","Flying","Physical","20","90","10","complete","direct hg-engine DS reuse","MOVE_TRIPLE_AXEL","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"66","988","BULK02","MOVE_MIND_BREAK","Mind Break","Psychic","Physical","110","90","10","complete","direct hg-engine DS reuse","MOVE_PSYSHOCK","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"67","989","BULK02","MOVE_WYRM_WIND","Wyrm Wind","Dragon","Special","25","100","20","complete","direct hg-engine DS reuse","MOVE_SCALE_SHOT","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"68","990","BULK02","MOVE_BERRY_SMASH","Berry Smash","Grass","Physical","70","100","5","complete","direct Platinum/base-era DS reuse","MOVE_WOOD_HAMMER","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"69","991","BULK02","MOVE_SUPERHOT_FLAME","Boiling Flame","Fire","Special","80","100","15","complete","direct hg-engine DS reuse","MOVE_HYDRO_STEAM","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"70","992","BULK02","MOVE_DOUBLE_LARIAT","Double Lariat","Fighting","Physical","85","100","10","complete","direct hg-engine DS reuse","MOVE_DARKEST_LARIAT","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"71","993","BULK02","MOVE_LEECH_BLADE","Leech Blade","Grass","Physical","75","100","15","complete","direct Platinum/base-era DS reuse","MOVE_LEAF_BLADE","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"72","994","BULK02","MOVE_YGGDRASIL_FORCE","Yggdrasil Force","Grass","Physical","120","100","5","complete","direct Platinum/base-era DS reuse","MOVE_SUPERPOWER","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"73","995","BULK02","MOVE_DRAIN_BRAIN","Drain Brain","Psychic","Status","","100","10","complete","direct hg-engine DS reuse","MOVE_STRENGTH_SAP","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"74","996","BULK02","MOVE_PSYCHOKINETIC_SLAM","Psychokinetic Slam","Psychic","Physical","120","100","10","complete","direct Platinum/base-era DS reuse","MOVE_DOUBLE_EDGE","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"75","997","BULK02","MOVE_GEM_MISSILE","Gem Missile","Rock","Special","40","100","15","complete","direct Platinum/base-era DS reuse","MOVE_POWER_GEM","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"76","998","BULK02","MOVE_RIDER_KICK","Rider Kick","Bug","Physical","90","","10","complete","direct Platinum/base-era DS reuse","MOVE_JUMP_KICK","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"77","999","BULK02","MOVE_INVERSE_ROOM","Inverse Room","Psychic","Status","","","5","complete","direct Platinum/base-era DS reuse","MOVE_TRICK_ROOM","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"78","1000","BULK02","MOVE_BLAZING_BONE","Blazing Bone","Fire","Physical","15","100","10","complete","direct hg-engine DS reuse","MOVE_SHADOW_BONE","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"79","1001","BULK02","MOVE_KARMA","Karma","Poison","Status","","","20","complete","direct Platinum/base-era DS reuse","MOVE_CURSE","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"80","1002","BULK02","MOVE_GHASTLY_ECHO","Ghastly Echo","Ghost","Special","20","100","10","complete","direct Platinum/base-era DS reuse","MOVE_PURSUIT","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"81","1003","BULK02","MOVE_RAGING_SOULS","Raging Souls","Ghost","Special","130","100","5","complete","direct Platinum/base-era DS reuse","MOVE_WILL_O_WISP","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"82","1004","BULK02","MOVE_REQUIEM","Requiem","Ghost","Special","90","100","10","complete","direct Platinum/base-era DS reuse","MOVE_SING","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"83","1005","BULK02","MOVE_SOIL_DRAIN","Soil Drain","Ground","Special","75","100","10","complete","direct Platinum/base-era DS reuse","MOVE_GIGA_DRAIN","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"84","1006","BULK02","MOVE_SMASHIN_REALITIES","Smashin\' Realities","Dark","Physical","90","100","5","complete","direct Platinum/base-era DS reuse","MOVE_HAMMER_ARM","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"85","1007","BULK02","MOVE_CREEPING_THORNS","Creeping Thorns","Grass","Status","","","20","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"86","1008","BULK02","MOVE_WILD_SWING","Wild Swing","Normal","Physical","60","100","20","complete","direct hg-engine DS reuse","MOVE_GIGATON_HAMMER","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"87","1009","BULK02","MOVE_FEMUR_BREAKER","Femur Breaker","Electric","Physical","120","70","10","complete","custom Elite Redux animation chain","MOVE_SMITE","DEFER_VISUAL_UNTIL_APPROVED"
"88","1010","BULK02","MOVE_SQUEAKY_HAMMER","Squeaky Hammer","Fairy","Physical","80","100","15","complete","direct hg-engine DS reuse","MOVE_GIGATON_HAMMER","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"89","1011","BULK02","MOVE_PRIMITIVE_STRIKE","Primitive Strike","Ground","Physical","120","95","5","complete","direct hg-engine DS reuse","MOVE_GIGATON_HAMMER","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"90","1012","BULK02","MOVE_SMASHING_PUMPKINS","Smashing Pumpkins","Grass","Physical","60","","20","complete","direct hg-engine DS reuse","MOVE_GIGATON_HAMMER","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"91","1013","BULK02","MOVE_AIRBORNE_SLAM","Airborne Slam","Normal","Physical","85","100","10","complete","direct hg-engine DS reuse","MOVE_GIGATON_HAMMER","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"92","1014","BULK02","MOVE_SPINE_BREAKER","Spine Breaker","Rock","Physical","80","100","15","complete","direct hg-engine DS reuse","MOVE_GIGATON_HAMMER","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"93","1015","BULK02","MOVE_CRACKLE_SLAM","Crackle Slam","Electric","Physical","70","100","15","complete","direct hg-engine DS reuse","MOVE_GIGATON_HAMMER","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"94","1016","BULK02","MOVE_SQUALL_HAMMER","Squall Hammer","Flying","Physical","95","100","10","complete","direct hg-engine DS reuse","MOVE_GIGATON_HAMMER","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"95","1017","BULK02","MOVE_MEGATON_HAMMER","Megaton Hammer","Fighting","Physical","80","100","10","complete","direct hg-engine DS reuse","MOVE_GIGATON_HAMMER","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"96","1018","BULK02","MOVE_BATTERING_RAM","Battering Ram","Dragon","Physical","90","100","15","complete","direct hg-engine DS reuse","MOVE_GIGATON_HAMMER","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"97","1019","BULK02","MOVE_PITFALL","Pitfall","Ground","Physical","80","100","10","complete","direct hg-engine DS reuse","MOVE_GIGATON_HAMMER","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"98","1020","BULK02","MOVE_VIRAL_STRIKE","Viral Strike","Poison","Physical","110","90","5","complete","direct hg-engine DS reuse","MOVE_GIGATON_HAMMER","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"99","1021","BULK02","MOVE_SHADOW_HAMMER","Shadow Hammer","Ghost","Physical","120","100","10","complete","direct hg-engine DS reuse","MOVE_GIGATON_HAMMER","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"100","1022","BULK02","MOVE_BONK","Bonk","Fairy","Physical","75","100","5","complete","direct hg-engine DS reuse","MOVE_GIGATON_HAMMER","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"101","1023","BULK03","MOVE_MOLTEN_STRIKE","Molten Strike","Fire","Physical","100","100","10","complete","direct hg-engine DS reuse","MOVE_GIGATON_HAMMER","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"102","1024","BULK03","MOVE_MIRAGE_SLAM","Mirage Slam","Psychic","Physical","120","85","10","complete","direct hg-engine DS reuse","MOVE_GIGATON_HAMMER","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"103","1025","BULK03","MOVE_EARTHSPLITTER","Earthsplitter","Steel","Physical","90","100","10","complete","direct hg-engine DS reuse","MOVE_GIGATON_HAMMER","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"104","1026","BULK03","MOVE_BEETLE_BASH","Beetle Bash","Bug","Physical","120","90","5","complete","direct hg-engine DS reuse","MOVE_GIGATON_HAMMER","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"105","1027","BULK03","MOVE_PEBBLE_SHOWER","Pebble Shower","Rock","Special","75","100","10","complete","direct Platinum/base-era DS reuse","MOVE_ROCK_SLIDE","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"106","1028","BULK03","MOVE_RAPID_RIVER","Rapid River","Water","Physical","45","100","15","complete","direct Platinum/base-era DS reuse","MOVE_WATERFALL","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"107","1029","BULK03","MOVE_TOXIC_NEEDLES","Toxic Needles","Poison","Physical","25","100","10","complete","direct hg-engine DS reuse","MOVE_BARB_BARRAGE","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"108","1030","BULK03","MOVE_SMOLDER_BASH","Smolder Bash","Fire","Physical","80","100","15","complete","direct Platinum/base-era DS reuse","MOVE_FLARE_BLITZ","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"109","1031","BULK03","MOVE_BEATDOWN","Beatdown","Dark","Physical","25","100","20","complete","direct Platinum/base-era DS reuse","MOVE_BEAT_UP","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"110","1032","BULK03","MOVE_EERIE_FOG","Eerie Fog","Ghost","Status","","","10","complete","direct Platinum/base-era DS reuse","MOVE_HAZE","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"111","1033","BULK03","MOVE_MYSTIC_DANCE","Mystic Dance","Dragon","Status","","","20","complete","direct Platinum/base-era DS reuse","MOVE_DRAGON_DANCE","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"112","1034","BULK03","MOVE_RELENTLESS_CLOBBER","Relentless Clobber","Dark","Physical","25","100","20","complete","direct Platinum/base-era DS reuse","MOVE_BEAT_UP","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"113","1035","BULK03","MOVE_POP_MAYHEM","Popping Mayhem","Fire","Physical","25","100","20","complete","direct Platinum/base-era DS reuse","MOVE_BULLET_SEED","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"114","1036","BULK03","MOVE_KILOBITE","Kilobite","Steel","Physical","85","100","10","complete","custom Elite Redux animation chain","MOVE_IRON_FANGS","DEFER_VISUAL_UNTIL_APPROVED"
"115","1037","BULK03","MOVE_TANGLING_HUSK","Tangling Husk","Grass","Status","","","5","complete","direct hg-engine DS reuse","MOVE_SILK_TRAP","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"116","1038","BULK03","MOVE_RIP_AND_TEAR","Rip and Tear","Dark","Physical","110","90","5","complete","direct Platinum/base-era DS reuse","MOVE_CRUNCH","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"117","1039","BULK03","MOVE_BRAVADO","Bravado","Normal","Special","70","100","20","complete","direct Platinum/base-era DS reuse","MOVE_FACADE","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"118","1040","BULK03","MOVE_TERROR_CHARGE","Terror Charge","Dark","Physical","65","100","15","complete","direct Platinum/base-era DS reuse","MOVE_DOUBLE_EDGE","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"119","1041","BULK03","MOVE_TERROR_LOCKS","Terror Locks","Ghost","Physical","85","100","15","complete","direct Platinum/base-era DS reuse","MOVE_NIGHT_SLASH","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"120","1042","BULK03","MOVE_DREAM_INVERSION","Dream Invasion","Normal","Physical","70","100","10","complete","direct Platinum/base-era DS reuse","MOVE_DREAM_EATER","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"121","1043","BULK03","MOVE_SPARKLING_BARRAGE","Sparkling Barrage","Psychic","Physical","30","100","10","complete","direct hg-engine DS reuse","MOVE_SPIRIT_SHACKLE","UNIQUE_DONOR_VISUAL_ONCE_AFTER_PORT"
"122","1044","BULK03","MOVE_SPECTRAL_SERENADE","Spectral Serenade","Ghost","Special","130","100","5","complete","direct Platinum/base-era DS reuse","MOVE_WILL_O_WISP","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"123","1045","BULK03","MOVE_MERCULIGHT","Merculight","Electric","Status","","","5","complete","direct Platinum/base-era DS reuse","MOVE_PROTECT","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"124","1046","BULK03","MOVE_BIG_BLAST","Big Bang","Normal","Special","90","100","10","complete","direct Platinum/base-era DS reuse","MOVE_HYPER_BEAM","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"125","1047","BULK03","MOVE_SPECTRAL_FLAME","Spectral Flame","Ghost","Status","","85","10","complete","direct Platinum/base-era DS reuse","MOVE_WILL_O_WISP","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"126","1048","BULK03","MOVE_TREPIDATION","Trepidation","Poison","Special","20","90","20","complete","direct Platinum/base-era DS reuse","MOVE_MEAN_LOOK","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"127","1049","BULK03","MOVE_ASTRAL_HAND","Astral Hand","Psychic","Physical","85","100","15","complete","direct Platinum/base-era DS reuse","MOVE_MEGA_PUNCH","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"128","1050","BULK03","MOVE_FETCH","Fetch","Normal","Physical","","","5","complete","direct Platinum/base-era DS reuse","MOVE_BATON_PASS","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
